group	cancer_label	detected_n	cancer_detected_n	noncancer_detected_n	precision	odds_ratio	p_value	p_adjust_BH	p_adjust_BY	precision_percent	tool	norm_method	comparison_method
ALL_DGE	OncoKB	17628	1188	16440	0.0673927842069435	15.505049407745485	6.229560812968051e-11	1.3497381761430775e-10	6.125171165271501e-10	6.74	DGE	NA	NA
ALL_DGE	MERGED	17628	3523	14105	0.19985250737463126	2.313313334338125	9.023921669846128e-9	1.6180825063172367e-8	7.342929529522304e-8	19.99	DGE	NA	NA
ALL_DGE	NCG	17628	3137	14491	0.17795552530065806	2.1159831358573156	5.95885622939709e-7	9.113544821430842e-7	4.13576669463043e-6	17.8	DGE	NA	NA
ALL_DGE	CGC	17628	576	17052	0.03267528931245745	Inf	7.20885208119445e-7	1.0710294520631754e-6	4.860378725954096e-6	3.27	DGE	NA	NA
ALL_TOX	NCG	11021	2165	8856	0.1964431539787678	1.4556564848070466	3.224684699821281e-20	1.6768360439070663e-19	7.609555665363903e-19	19.64	TOX	NA	NA
ALL_TOX	MERGED	11021	2410	8611	0.218673441611469	1.4255113018433812	7.401942062062384e-20	2.9607768248249535e-19	1.343613535926208e-18	21.87	TOX	NA	NA
ALL_TOX	OncoKB	11021	831	10190	0.07540150621540695	1.5171682525446524	3.712043874741904e-11	8.392447021155608e-11	3.8085293435904036e-10	7.54	TOX	NA	NA
ALL_TOX	CGC	11021	400	10621	0.03629434715543054	1.4683295042174325	1.1838586936499898e-5	1.7100181130499853e-5	7.760137353509552e-5	3.63	TOX	NA	NA
ALL_edgeR	OncoKB	17599	1188	16411	0.06750383544519575	16.583724764297784	9.328588487063641e-12	2.2049390969423154e-11	1.0006110530535368e-10	6.75	edgeR	NA	NA
ALL_edgeR	MERGED	17599	3521	14078	0.2000681856923689	2.3646134111612382	1.39847593896644e-9	2.6933610676390693e-9	1.2222590900043501e-8	20.01	edgeR	NA	NA
ALL_edgeR	NCG	17599	3135	14464	0.178135121313711	2.157022727056135	1.4599333389943503e-7	2.4489204396034263e-07	1.1113308586681665e-6	17.81	edgeR	NA	NA
ALL_edgeR	CGC	17599	576	17023	0.032729132337064606	Inf	2.748679172882763e-7	4.46660365593449e-7	2.026964370097662e-6	3.27	edgeR	NA	NA
ALL_limma	MERGED	17513	3511	14002	0.20047964369325644	2.284452300394527	1.7848286275545896e-10	3.7124435453135464e-10	1.6847231973115926e-9	20.05	limma	NA	NA
ALL_limma	OncoKB	17513	1184	16329	0.06760692057328842	6.525480259536028	2.35674814712562e-10	4.71349629425124e-10	2.139005334476168e-9	6.76	limma	NA	NA
ALL_limma	NCG	17513	3128	14385	0.1786101752983498	2.2054361722529463	5.027890347325047e-9	9.33751064503223e-9	4.237403369726155e-8	17.86	limma	NA	NA
ALL_limma	CGC	17513	575	16938	0.03283275281219666	18.49610076240945	3.053052478886178e-7	4.810870572790341e-7	2.1831942100439577e-6	3.28	limma	NA	NA
ONLY_DGE	CGC	7038	176	6862	0.02500710429099176	0.6810460439075389	0.9999920876826436	1	1	2.5	DGE_only	NA	NA
ONLY_DGE	OncoKB	7038	359	6679	0.05100880932082978	0.6591226769494827	0.9999999999757563	1	1	5.1	DGE_only	NA	NA
ONLY_DGE	NCG	7038	1012	6026	0.1437908496732026	0.6869752654126735	1	1	1	14.38	DGE_only	NA	NA
ONLY_DGE	MERGED	7038	1155	5883	0.16410912190963342	0.7015026809726889	1	1	1	16.41	DGE_only	NA	NA
ONLY_TOX	NCG	431	40	391	0.09280742459396751	0.4725935585468837	0.9999997255973219	1	1	9.28	TOX	NA	NA
ONLY_TOX	MERGED	431	42	389	0.09744779582366589	0.4322803941672335	0.9999999961836414	1	1	9.74	TOX	NA	NA
ONLY_TOX	OncoKB	431	2	429	0.004640371229698376	0.06449511857088819	0.9999999999961227	1	1	0.46	TOX	NA	NA
ONLY_TOX	CGC	431	0	431	0	0	1	1	1	0	TOX	NA	NA
TOX_AND_DGE	MERGED	10590	2368	8222	0.22360717658168083	1.5090520628418207	1.3915604559919756e-26	7.236114371158273e-25	3.2837805048589676e-24	22.36	shared	NA	NA
TOX_AND_DGE	NCG	10590	2125	8465	0.20066100094428707	1.5312153811940052	5.388107158088446e-26	1.4009078611029959e-24	6.357381444562952e-24	20.07	shared	NA	NA
TOX_AND_DGE	OncoKB	10590	829	9761	0.07828139754485364	1.6721980719412322	2.976760246374963e-16	9.105384283029297e-16	4.1320634064376735e-15	7.83	shared	NA	NA
TOX_AND_DGE	CGC	10590	400	10190	0.03777148253068933	1.6265506251220212	3.4325096635987246e-8	5.949683416904456e-8	2.699992483864819e-7	3.78	shared	NA	NA
full_family_mean_TOX	OncoKB	9219	767	8452	0.08319774378999892	1.8056578147266282	3.5613147816512025e-22	3.0864728107643753e-21	1.4006549267881426e-20	8.32	TOX	full	family_mean
full_family_mean_TOX	MERGED	9219	2071	7148	0.22464475539646384	1.4245679667133277	2.9686385373587704e-21	1.929615049283201e-20	8.756677901574388e-20	22.46	TOX	full	family_mean
full_family_mean_TOX	NCG	9219	1846	7373	0.2002386375962686	1.41247089696459	9.500469185982399e-19	3.0876524854442797e-18	1.4011902683426355e-17	20.02	TOX	full	family_mean
full_family_mean_TOX	CGC	9219	376	8843	0.04078533463499295	1.8367709300763448	1.7143200979232237e-12	4.457232254600382e-12	2.022711586984281e-11	4.08	TOX	full	family_mean
full_ortholog_mean_TOX	MERGED	9076	2042	7034	0.2249889819303658	1.421933513438682	4.1818140420432966e-21	2.4161592242916824e-20	1.096463675171871e-19	22.5	TOX	full	ortholog_mean
full_ortholog_mean_TOX	OncoKB	9076	749	8327	0.08252534156015866	1.7421967152306679	5.762216588094874e-20	2.4969605215077784e-19	1.133131658975872e-18	8.25	TOX	full	ortholog_mean
full_ortholog_mean_TOX	NCG	9076	1822	7254	0.2007492287351256	1.4139361529677044	6.746428300118193e-19	2.3387618107076403e-18	1.0613403887204018e-17	20.07	TOX	full	ortholog_mean
full_ortholog_mean_TOX	CGC	9076	372	8704	0.04098721903922433	1.8391683940096846	1.3192553243102258e-12	3.6105935191648287e-12	1.638503207807336e-11	4.1	TOX	full	ortholog_mean
log_family_mean_TOX	NCG	5797	1118	4679	0.1928583750215629	1.1839968604425344	2.401682379512411e-5	3.375337398233659e-5	1.5317429461617117e-4	19.29	TOX	log	family_mean
log_family_mean_TOX	MERGED	5797	1209	4588	0.20855614973262032	1.1079544920932083	0.005234106749461507	0.006978808999282009	0.03167014196226464	20.86	TOX	log	family_mean
log_family_mean_TOX	CGC	5797	145	5652	0.025012937726410212	0.704235588356291	0.999907192891184	1	1	2.5	TOX	log	family_mean
log_family_mean_TOX	OncoKB	5797	325	5472	0.05606348111091944	0.7825393118553077	0.9999081613056813	1	1	5.61	TOX	log	family_mean
log_ortholog_mean_TOX	NCG	5696	1073	4623	0.18837780898876405	1.1316950320306778	0.0015877537452045946	0.0021727156513326033	0.009859879118115587	18.84	TOX	log	ortholog_mean
log_ortholog_mean_TOX	MERGED	5696	1166	4530	0.20470505617977527	1.0690590930493147	0.04952775958542533	0.06438608746105293	0.2921868947117081	20.47	TOX	log	ortholog_mean
log_ortholog_mean_TOX	OncoKB	5696	320	5376	0.056179775280898875	0.7863150531821597	0.9998688789953704	1	1	5.62	TOX	log	ortholog_mean
log_ortholog_mean_TOX	CGC	5696	141	5555	0.02475421348314607	0.6960197878110763	0.9999366706325117	1	1	2.48	TOX	log	ortholog_mean
std_log_family_mean_TOX	MERGED	8920	2020	6900	0.226457399103139	1.4388992475425242	1.8368666077704327e-22	2.3879265901015623e-21	1.0836515816919982e-20	22.65	TOX	std_log	family_mean
std_log_family_mean_TOX	OncoKB	8920	748	8172	0.08385650224215246	1.8009515388984265	3.095807808320859e-22	3.0864728107643753e-21	1.4006549267881426e-20	8.39	TOX	std_log	family_mean
