uniprot	gene_symbol	is_CGC	is_NCG	is_OncoKB	is_MERGED
A0A024RBG1	NUDT4B	FALSE	FALSE	FALSE	FALSE
A0A075B6H7	IGKV3-7	FALSE	FALSE	FALSE	FALSE
A0A075B6H8	IGKV1D-42	FALSE	FALSE	FALSE	FALSE
A0A075B6I0	IGLV8-61	FALSE	FALSE	FALSE	FALSE
A0A075B6I4	IGLV10-54	FALSE	FALSE	FALSE	FALSE
A0A075B6I6	IGLV1-50	FALSE	FALSE	FALSE	FALSE
A0A075B6I9	IGLV7-46	FALSE	FALSE	FALSE	FALSE
A0A075B6J2	IGLV2-33	FALSE	FALSE	FALSE	FALSE
A0A075B6J6	IGLV3-22	FALSE	FALSE	FALSE	FALSE
A0A075B6J9	IGLV2-18	FALSE	FALSE	FALSE	FALSE
A0A075B6K0	IGLV3-16	FALSE	FALSE	FALSE	FALSE
A0A075B6Q5	IGHV3-64	FALSE	FALSE	FALSE	FALSE
A0A075B6R2	IGHV4-4	FALSE	FALSE	FALSE	FALSE
A0A075B6S4	IGKV1D-17	FALSE	FALSE	FALSE	FALSE
A0A075B6S9	IGKV1-37	FALSE	FALSE	FALSE	FALSE
A0A075B734	AQP7B	FALSE	FALSE	FALSE	FALSE
A0A075B759	PPIAL4E	FALSE	FALSE	FALSE	FALSE
A0A075B767	PPIAL4H	FALSE	FALSE	FALSE	FALSE
A0A087WSY6	IGKV3D-15	FALSE	FALSE	FALSE	FALSE
A0A087WSZ0	IGKV1D-8	FALSE	FALSE	FALSE	FALSE
A0A087WVF3	TBC1D3D	FALSE	FALSE	FALSE	FALSE
A0A087WXS9	TBC1D3I	FALSE	FALSE	FALSE	FALSE
A0A087X179	TBC1D3E	FALSE	FALSE	FALSE	FALSE
A0A087X1G2	TBC1D3K	FALSE	FALSE	FALSE	FALSE
A0A096LNW5	NOTCH2NLR	FALSE	FALSE	FALSE	FALSE
A0A096LP55	UQCRHL	FALSE	FALSE	FALSE	FALSE
A0A0A0MRZ8	IGKV3D-11	FALSE	FALSE	FALSE	FALSE
A0A0A0MS00	IGLV3-32	FALSE	FALSE	FALSE	FALSE
A0A0A0MS14	IGHV1-45	FALSE	FALSE	FALSE	FALSE
A0A0A0MS15	IGHV3-49	FALSE	FALSE	FALSE	FALSE
A0A0A0MT36	IGKV6D-21	FALSE	FALSE	FALSE	FALSE
A0A0A0MT76	IGLJ1	FALSE	FALSE	FALSE	FALSE
A0A0B4J1U3	IGLV1-36	FALSE	FALSE	FALSE	FALSE
A0A0B4J1V0	IGHV3-15	FALSE	FALSE	FALSE	FALSE
A0A0B4J1V7	IGHV7-81	FALSE	FALSE	FALSE	FALSE
A0A0B4J1X8	IGHV3-43	FALSE	FALSE	FALSE	FALSE
A0A0B4J1Y9	IGHV3-72	FALSE	FALSE	FALSE	FALSE
A0A0B4J1Z2	IGKV1D-43	FALSE	FALSE	FALSE	FALSE
A0A0B4J2D9	IGKV1D-13	FALSE	FALSE	FALSE	FALSE
A0A0B4J2H0	IGHV1-69D	FALSE	FALSE	FALSE	FALSE
A0A0C4DH24	IGKV6-21	FALSE	FALSE	FALSE	FALSE
A0A0C4DH25	IGKV3D-20	FALSE	FALSE	FALSE	FALSE
A0A0C4DH26	IGKV6D-41	FALSE	FALSE	FALSE	FALSE
A0A0C4DH29	IGHV1-3	FALSE	FALSE	FALSE	FALSE
A0A0C4DH30	IGHV3-16	FALSE	FALSE	FALSE	FALSE
A0A0C4DH31	IGHV1-18	FALSE	FALSE	FALSE	FALSE
A0A0C4DH32	IGHV3-20	FALSE	FALSE	FALSE	FALSE
A0A0C4DH34	IGHV4-28	FALSE	FALSE	FALSE	FALSE
A0A0C4DH35	IGHV3-35	FALSE	FALSE	FALSE	FALSE
A0A0C4DH36	IGHV3-38	FALSE	FALSE	FALSE	FALSE
A0A0C4DH39	IGHV1-58	FALSE	FALSE	FALSE	FALSE
A0A0C4DH41	IGHV4-61	FALSE	FALSE	FALSE	FALSE
A0A0C4DH42	IGHV3-66	FALSE	FALSE	FALSE	FALSE
A0A0C4DH43	IGHV2-70D	FALSE	FALSE	FALSE	FALSE
A0A0C4DH55	IGKV3D-7	FALSE	FALSE	FALSE	FALSE
A0A0G2JMI3	IGHV1-69-2	FALSE	FALSE	FALSE	FALSE
A0A0J9YVY3	IGHV7-4-1	FALSE	FALSE	FALSE	FALSE
A0A0J9YX35	IGHV3-64D	FALSE	FALSE	FALSE	FALSE
A0A0K2S4Q6	CD300H	FALSE	FALSE	FALSE	FALSE
A0A0U1RRK4	LBHD2	FALSE	FALSE	FALSE	FALSE
A0A1B0GUJ8	PNMA8C	FALSE	FALSE	FALSE	FALSE
A0A1B0GVZ6	MBD3L2B	FALSE	FALSE	FALSE	FALSE
A0A1W2PPD8	KDM4F	FALSE	FALSE	FALSE	FALSE
A0A1W2PPG7	GNG14	FALSE	FALSE	FALSE	FALSE
A0A1W2PQ27	SSU72L1	FALSE	FALSE	FALSE	FALSE
A0A1W2PQ64	SSU72L5	FALSE	FALSE	FALSE	FALSE
A0A1W2PQ73	ERFL	FALSE	FALSE	FALSE	FALSE
A0A1W2PQC6	SSU72L4	FALSE	FALSE	FALSE	FALSE
A0A1W2PQD8	SSU72L2	FALSE	FALSE	FALSE	FALSE
A0A1W2PQJ5	SSU72L3	FALSE	FALSE	FALSE	FALSE
A0A1W2PR48	TLE7	FALSE	FALSE	FALSE	FALSE
A0A1W2PR75	SSU72L6	FALSE	FALSE	FALSE	FALSE
A0A1W2PR95	IGBP1C	FALSE	FALSE	FALSE	FALSE
A0A2R8Y4L2	HNRNPA1L3	FALSE	FALSE	FALSE	FALSE
A0A2Z4LIS9	FOXO3B	FALSE	FALSE	FALSE	FALSE
A0A3B3IT33	TRIM51G	FALSE	FALSE	FALSE	FALSE
A0A3B3IU63	H2AL3	FALSE	FALSE	FALSE	FALSE
A0A494C1R9	TSPY9	FALSE	FALSE	FALSE	FALSE
A0A5B7	TRBV29-1	FALSE	FALSE	FALSE	FALSE
A0A5F9ZHS7	NFILZ	FALSE	FALSE	FALSE	FALSE
A0A7I2V3R4	RNF228	FALSE	FALSE	FALSE	FALSE
A0A8V8TMC4	CCNYL1B	FALSE	FALSE	FALSE	FALSE
A0AVI2	FER1L5	FALSE	FALSE	FALSE	FALSE
A0FGR9	ESYT3	FALSE	FALSE	FALSE	FALSE
A0PG75	PLSCR5	FALSE	FALSE	FALSE	FALSE
A0PJE2	DHRS12	FALSE	FALSE	FALSE	FALSE
A0PJX0	CIB4	FALSE	FALSE	FALSE	FALSE
A1L167	UBE2QL1	FALSE	FALSE	FALSE	FALSE
A1L4K1	FSD2	FALSE	FALSE	FALSE	FALSE
A2A288	ZC3H12D	FALSE	FALSE	FALSE	FALSE
A4D0S4	LAMB4	FALSE	FALSE	FALSE	FALSE
A4D256	CDC14C	FALSE	FALSE	FALSE	FALSE
A4D2H0	CTAGE15	FALSE	FALSE	FALSE	FALSE
A5LHX3	PSMB11	FALSE	FALSE	FALSE	FALSE
A6NC51	TMEM150B	FALSE	FALSE	FALSE	FALSE
A6NCE7	MAP1LC3B2	FALSE	FALSE	FALSE	FALSE
A6NCK2	TRIM43B	FALSE	FALSE	FALSE	FALSE
A6NCW0	USP17L3	FALSE	FALSE	FALSE	FALSE
A6NCW7	USP17L4	FALSE	FALSE	FALSE	FALSE
A6ND01	IZUMO1R	FALSE	FALSE	FALSE	FALSE
A6NDI0	TRIM49B	FALSE	FALSE	FALSE	FALSE
A6NDP7	MYADML2	FALSE	FALSE	FALSE	FALSE
A6NDS4	TBC1D3B	FALSE	TRUE	FALSE	TRUE
A6NDY0	PABPN1L	FALSE	FALSE	FALSE	FALSE
A6NE02	BTBD17	FALSE	FALSE	FALSE	FALSE
A6NE82	MBD3L3	FALSE	FALSE	FALSE	FALSE
A6NER0	TBC1D3F	FALSE	FALSE	FALSE	FALSE
A6NF34	ANTXRL	FALSE	FALSE	FALSE	FALSE
A6NFD8	HELT	FALSE	FALSE	FALSE	FALSE
A6NFH5	FABP12	FALSE	FALSE	FALSE	FALSE
A6NFX1	MFSD2B	FALSE	FALSE	FALSE	FALSE
A6NGE4	DCAF8L1	FALSE	FALSE	FALSE	FALSE
A6NGN9	IGLON5	FALSE	FALSE	FALSE	FALSE
A6NH57	ARL5C	FALSE	FALSE	FALSE	FALSE
A6NHL2	TUBAL3	FALSE	FALSE	FALSE	FALSE
A6NHQ2	FBLL1	FALSE	FALSE	FALSE	FALSE
A6NI03	TRIM64B	FALSE	FALSE	FALSE	FALSE
A6NI87	CBY3	FALSE	FALSE	FALSE	FALSE
A6NIR3	AGAP5	FALSE	FALSE	FALSE	FALSE
A6NJ08	MBD3L5	FALSE	FALSE	FALSE	FALSE
A6NJI9	LRRC72	FALSE	FALSE	FALSE	FALSE
A6NJW4	LRRC3C	FALSE	FALSE	FALSE	FALSE
A6NK02	TRIM75	FALSE	FALSE	FALSE	FALSE
A6NK53	ZNF233	FALSE	FALSE	FALSE	FALSE
A6NKB5	PCNX2	FALSE	FALSE	FALSE	FALSE
A6NKD2	TSPY2	FALSE	FALSE	FALSE	FALSE
A6NKL6	TMEM200C	FALSE	FALSE	FALSE	FALSE
A6NKP2	SDR42E2	FALSE	FALSE	FALSE	FALSE
A6NKT7	RGPD3	FALSE	TRUE	FALSE	TRUE
A6NLI5	TRIM64C	FALSE	FALSE	FALSE	FALSE
A6NMD0	IFITM10	FALSE	FALSE	FALSE	FALSE
A6NMX2	EIF4E1B	FALSE	FALSE	FALSE	FALSE
A6NMZ7	COL6A6	FALSE	TRUE	FALSE	TRUE
A6NNB3	IFITM5	FALSE	FALSE	FALSE	FALSE
A6NNY8	USP27X	FALSE	FALSE	FALSE	FALSE
A6NNZ2	TUBB8B	FALSE	FALSE	FALSE	FALSE
A6PVI3	NCBP2L	FALSE	FALSE	FALSE	FALSE
A8K7I4	CLCA1	FALSE	FALSE	FALSE	FALSE
A8MT65	ZNF891	FALSE	FALSE	FALSE	FALSE
A8MTL9	HMSD	FALSE	FALSE	FALSE	FALSE
A8MV23	SERPINE3	FALSE	FALSE	FALSE	FALSE
A8MV81	HIGD1C	FALSE	FALSE	FALSE	FALSE
A8MVX0	ARHGEF33	FALSE	FALSE	FALSE	FALSE
A8MW95	BECN2	FALSE	FALSE	FALSE	FALSE
A8MXE2	B3GALT9	FALSE	FALSE	FALSE	FALSE
A8MZ36	EVPLL	FALSE	FALSE	FALSE	FALSE
B0FP48	UPK3BL1	FALSE	FALSE	FALSE	FALSE
B0I1T2	MYO1G	FALSE	TRUE	FALSE	TRUE
B1APH4	ZNF487	FALSE	FALSE	FALSE	FALSE
B2RXH2	KDM4E	FALSE	FALSE	FALSE	FALSE
B2RXH4	BTBD18	FALSE	FALSE	FALSE	FALSE
B2RXH8	HNRNPCL2	FALSE	FALSE	FALSE	FALSE
B5MCN3	SEC14L6	FALSE	FALSE	FALSE	FALSE
B7ZW38	HNRNPCL3	FALSE	FALSE	FALSE	FALSE
B9A064	IGLL5	FALSE	TRUE	FALSE	TRUE
C9J1S8	TRIM49D1; TRIM49D2	FALSE	FALSE	FALSE	FALSE
C9JE40	PATL2	FALSE	FALSE	FALSE	FALSE
C9JJH3	USP17L10	FALSE	FALSE	FALSE	FALSE
C9JRZ8	AKR1B15	FALSE	FALSE	FALSE	FALSE
E5RIL1	UPK3BL2	FALSE	FALSE	FALSE	FALSE
E9PQ53	NDUFC2-KCTD14	FALSE	FALSE	FALSE	FALSE
I1YAP6	TRIM77	FALSE	FALSE	FALSE	FALSE
O00160	MYO1F	FALSE	FALSE	FALSE	FALSE
O00168	FXYD1	FALSE	FALSE	FALSE	FALSE
O00175	CCL24	FALSE	FALSE	FALSE	FALSE
O00187	MASP2	FALSE	FALSE	FALSE	FALSE
O00238	BMPR1B	FALSE	FALSE	FALSE	FALSE
O00270	GPR31	FALSE	FALSE	FALSE	FALSE
O00294	TULP1	FALSE	FALSE	FALSE	FALSE
O00321	ETV2	FALSE	FALSE	FALSE	FALSE
O00327	BMAL1	FALSE	FALSE	FALSE	FALSE
O00458	IFRD1	FALSE	FALSE	FALSE	FALSE
O00459	PIK3R2	FALSE	TRUE	TRUE	TRUE
O00507	USP9Y	FALSE	FALSE	FALSE	FALSE
O00512	BCL9	TRUE	TRUE	TRUE	TRUE
O00570	SOX1	FALSE	FALSE	FALSE	FALSE
O00592	PODXL	FALSE	FALSE	FALSE	FALSE
O00754	MAN2B1	FALSE	FALSE	FALSE	FALSE
O00757	FBP2	FALSE	FALSE	FALSE	FALSE
O14512	SOCS7	FALSE	FALSE	FALSE	FALSE
O14522	PTPRT	TRUE	TRUE	TRUE	TRUE
O14556	GAPDHS	FALSE	FALSE	FALSE	FALSE
O14604	TMSB4Y	FALSE	FALSE	FALSE	FALSE
O14607	UTY	FALSE	FALSE	FALSE	FALSE
O14610	GNGT2	FALSE	FALSE	FALSE	FALSE
O14613	CDC42EP2	FALSE	FALSE	FALSE	FALSE
O14654	IRS4	TRUE	TRUE	TRUE	TRUE
O14686	KMT2D	TRUE	TRUE	TRUE	TRUE
O14715	RGPD8	FALSE	FALSE	FALSE	FALSE
O14815	CAPN9	FALSE	FALSE	FALSE	FALSE
O14907	TAX1BP3	FALSE	FALSE	FALSE	FALSE
O14926	FSCN2	FALSE	FALSE	FALSE	FALSE
O14967	CLGN	FALSE	FALSE	FALSE	FALSE
O14983	ATP2A1	FALSE	FALSE	FALSE	FALSE
O14990	PPP1R2C	FALSE	FALSE	FALSE	FALSE
O15062	ZBTB5	FALSE	TRUE	FALSE	TRUE
O15083	ERC2	FALSE	FALSE	FALSE	FALSE
O15156	ZBTB7B	FALSE	TRUE	FALSE	TRUE
O15178	TBXT	FALSE	FALSE	FALSE	FALSE
O15205	UBD	FALSE	FALSE	FALSE	FALSE
