gene_symbol	is_CGC	is_NCG	is_OncoKB	is_MERGED
A1BG	FALSE	FALSE	FALSE	FALSE
A1CF	FALSE	TRUE	TRUE	TRUE
A2M	FALSE	FALSE	FALSE	FALSE
A2ML1	FALSE	TRUE	FALSE	TRUE
A3GALT2	FALSE	FALSE	FALSE	FALSE
A4GALT	FALSE	FALSE	FALSE	FALSE
A4GNT	FALSE	FALSE	FALSE	FALSE
AAAS	FALSE	FALSE	FALSE	FALSE
AACS	FALSE	FALSE	FALSE	FALSE
AADAC	FALSE	FALSE	FALSE	FALSE
AADACL2	FALSE	FALSE	FALSE	FALSE
AADACL3	FALSE	FALSE	FALSE	FALSE
AADAT	FALSE	FALSE	FALSE	FALSE
AAGAB	FALSE	FALSE	FALSE	FALSE
AAK1	FALSE	FALSE	FALSE	FALSE
AAMDC	FALSE	FALSE	FALSE	FALSE
AAMP	FALSE	FALSE	TRUE	TRUE
AANAT	FALSE	FALSE	FALSE	FALSE
AAR2	FALSE	FALSE	FALSE	FALSE
AARD	FALSE	FALSE	FALSE	FALSE
AARS1	FALSE	FALSE	FALSE	FALSE
AARS2	FALSE	FALSE	FALSE	FALSE
AASDH	FALSE	FALSE	FALSE	FALSE
AASDHPPT	FALSE	FALSE	FALSE	FALSE
AASS	FALSE	FALSE	FALSE	FALSE
AATF	FALSE	FALSE	FALSE	FALSE
AATK	FALSE	FALSE	FALSE	FALSE
ABAT	FALSE	FALSE	FALSE	FALSE
ABCA1	FALSE	FALSE	FALSE	FALSE
ABCA10	FALSE	TRUE	FALSE	TRUE
ABCA12	FALSE	FALSE	FALSE	FALSE
ABCA13	FALSE	TRUE	FALSE	TRUE
ABCA3	FALSE	FALSE	FALSE	FALSE
ABCA4	FALSE	FALSE	FALSE	FALSE
ABCA5	FALSE	FALSE	FALSE	FALSE
ABCA6	FALSE	FALSE	FALSE	FALSE
ABCA7	FALSE	TRUE	FALSE	TRUE
ABCA8	FALSE	FALSE	FALSE	FALSE
ABCA9	FALSE	FALSE	FALSE	FALSE
ABCB1	FALSE	TRUE	TRUE	TRUE
ABCB10	FALSE	FALSE	FALSE	FALSE
ABCB11	FALSE	FALSE	FALSE	FALSE
ABCB4	FALSE	FALSE	FALSE	FALSE
ABCB5	FALSE	TRUE	FALSE	TRUE
ABCB6	FALSE	FALSE	FALSE	FALSE
