cancer_id	group	cancer_label	detected_n	cancer_detected_n	noncancer_detected_n	precision	odds_ratio	p_value	p_adjust_BH	p_adjust_BY	precision_percent	tool	norm_method	comparison_method
TCGA-BRCA	ALL_DGE	OncoKB	15592	1080	14512	0.06926629040533606	1.3132277300988995	0.019131485216788667	0.038262970433577334	0.17363904151181095	6.93	DGE	NA	NA
TCGA-BRCA	ALL_DGE	CGC	15592	519	15073	0.033286300667008724	1.230194259557327	0.1446212168324838	0.23831603632158951	1	3.33	DGE	NA	NA
TCGA-BRCA	ALL_DGE	MERGED	15592	3172	12420	0.2034376603386352	1.0845919593624802	0.1502943991689054	0.23831603632158951	1	20.34	DGE	NA	NA
TCGA-BRCA	ALL_DGE	NCG	15592	2821	12771	0.18092611595690097	1.0419543648225937	0.31571803796881215	0.43203520985205873	1	18.09	DGE	NA	NA
TCGA-BRCA	ALL_TOX	NCG	9010	1786	7224	0.19822419533851277	1.2979896206468198	6.678012359008202e-11	1.8276665403601397e-10	8.294031087373466e-10	19.82	TOX	NA	NA
TCGA-BRCA	ALL_TOX	MERGED	9010	1991	7019	0.22097669256381797	1.2820650073520763	7.766967290918413e-11	2.0194114956387872e-10	9.164178121752485e-10	22.1	TOX	NA	NA
TCGA-BRCA	ALL_TOX	OncoKB	9010	696	8314	0.07724750277469479	1.3694158305289832	2.439481063925912e-7	5.766046151097611e-7	2.616657085543082e-6	7.72	TOX	NA	NA
TCGA-BRCA	ALL_TOX	CGC	9010	340	8670	0.03773584905660377	1.402484159343946	7.291802105306192e-5	1.5798904561496749e-4	7.169612327294665e-4	3.77	TOX	NA	NA
TCGA-BRCA	ALL_edgeR	OncoKB	14575	1020	13555	0.0699828473413379	1.2665726282260448	0.00755305466560084	0.01571035370444975	0.07129427559179542	7	edgeR	NA	NA
TCGA-BRCA	ALL_edgeR	MERGED	14575	2978	11597	0.20432246998284734	1.0899937628981573	0.07070874691402691	0.1361696802672039	0.6179439938049904	20.43	edgeR	NA	NA
TCGA-BRCA	ALL_edgeR	CGC	14575	486	14089	0.03334476843910806	1.1304586403722605	0.1966013059947148	0.2920933689064334	1	3.33	edgeR	NA	NA
TCGA-BRCA	ALL_edgeR	NCG	14575	2642	11933	0.18126929674099485	1.0407883214550113	0.2620674364305628	0.378541852621924	1	18.13	edgeR	NA	NA
TCGA-BRCA	ALL_limma	NCG	13970	2549	11421	0.18246241947029349	1.083641799578618	0.07332213552849441	0.1361696802672039	0.6179439938049904	18.25	limma	NA	NA
TCGA-BRCA	ALL_limma	MERGED	13970	2857	11113	0.20450966356478167	1.0773082021229405	0.07942788232023426	0.14242240967766143	0.6463191546814653	20.45	limma	NA	NA
TCGA-BRCA	ALL_limma	OncoKB	13970	965	13005	0.06907659269863994	1.094061957657562	0.1512390230502395	0.23831603632158951	1	6.91	limma	NA	NA
TCGA-BRCA	ALL_limma	CGC	13970	467	13503	0.03342877594846099	1.1185090953522296	0.1907342437809975	0.2917111963709373	1	3.34	limma	NA	NA
TCGA-BRCA	ONLY_DGE	CGC	7794	212	7582	0.027200410572235052	0.7130205309896547	0.9999490558115793	0.9999999999488592	1	2.72	DGE_only	NA	NA
TCGA-BRCA	ONLY_DGE	OncoKB	7794	449	7345	0.05760841673081858	0.7302383817293219	0.9999998238784944	0.9999999999488592	1	5.76	DGE_only	NA	NA
TCGA-BRCA	ONLY_DGE	MERGED	7794	1412	6382	0.18116499871696176	0.7799916496163938	0.9999999999397666	0.9999999999488592	1	18.12	DGE_only	NA	NA
TCGA-BRCA	ONLY_DGE	NCG	7794	1247	6547	0.15999486784706185	0.7704221852726957	0.9999999999488592	0.9999999999488592	1	16	DGE_only	NA	NA
TCGA-BRCA	ONLY_TOX	NCG	1212	212	1000	0.17491749174917492	0.9597349305890828	0.711515940535983	0.9249707226967779	1	17.49	TOX	NA	NA
TCGA-BRCA	ONLY_TOX	MERGED	1212	231	981	0.1905940594059406	0.9220057288529022	0.866589236390748	0.9999999999488592	1	19.06	TOX	NA	NA
TCGA-BRCA	ONLY_TOX	CGC	1212	33	1179	0.027227722772277228	0.8128797482438572	0.8918683849131058	0.9999999999488592	1	2.72	TOX	NA	NA
TCGA-BRCA	ONLY_TOX	OncoKB	1212	65	1147	0.05363036303630363	0.7614825495077613	0.9860498625988632	0.9999999999488592	1	5.36	TOX	NA	NA
TCGA-BRCA	TOX_AND_DGE	MERGED	7798	1760	6038	0.2256988971531162	1.306248208694441	2.0616495591457745e-12	7.147051805038685e-12	3.243363520917708e-11	22.57	shared	NA	NA
TCGA-BRCA	TOX_AND_DGE	NCG	7798	1574	6224	0.20184662734034367	1.3081069029642909	1.2853663436359604e-11	3.7132805482816634e-11	1.6851030329372108e-10	20.18	shared	NA	NA
TCGA-BRCA	TOX_AND_DGE	OncoKB	7798	631	7167	0.080918184149782	1.4545346644559851	6.089180117049728e-10	1.5077969813646947e-9	6.842448970161926e-9	8.09	shared	NA	NA
TCGA-BRCA	TOX_AND_DGE	CGC	7798	307	7491	0.03936906899204924	1.465452588666362	6.432416474165569e-6	1.4542854637243894e-5	6.5996113512417e-5	3.94	shared	NA	NA
TCGA-BRCA	full_family_mean_TOX	OncoKB	6657	585	6072	0.0878774222622803	1.6492613361110129	2.608390150835237e-16	2.7127257568686464e-15	1.2310468710858919e-14	8.79	TOX	full	family_mean
TCGA-BRCA	full_family_mean_TOX	MERGED	6657	1552	5105	0.2331380501727505	1.3625104154952565	1.0082553283213417e-15	8.738212845451628e-15	3.9654393943208494e-14	23.31	TOX	full	family_mean
TCGA-BRCA	full_family_mean_TOX	NCG	6657	1384	5273	0.20790145711281358	1.352560320775457	5.810563007197045e-14	2.517910636452053e-13	1.1426389132148e-12	20.79	TOX	full	family_mean
TCGA-BRCA	full_family_mean_TOX	CGC	6657	297	6360	0.044614691302388466	1.8113916597475925	5.192392580715138e-12	1.5882612599834538e-11	7.20759940299502e-11	4.46	TOX	full	family_mean
TCGA-BRCA	full_ortholog_mean_TOX	OncoKB	6535	590	5945	0.090283091048202	1.7368912305327016	1.8846009386569074e-19	4.899962440507959e-18	2.223624491179185e-17	9.03	TOX	full	ortholog_mean
TCGA-BRCA	full_ortholog_mean_TOX	MERGED	6535	1536	4999	0.23504208110175975	1.382693671611661	5.12682991263155e-17	6.664878886421015e-16	3.0245513312654035e-15	23.5	TOX	full	ortholog_mean
TCGA-BRCA	full_ortholog_mean_TOX	NCG	6535	1366	5169	0.2090283091048202	1.3636057761742932	1.4214429000513644e-14	8.212781200296772e-14	3.72699620444085e-13	20.9	TOX	full	ortholog_mean
TCGA-BRCA	full_ortholog_mean_TOX	CGC	6535	300	6235	0.045906656465187455	1.9125597874381448	5.738327996640628e-14	2.517910636452053e-13	1.1426389132148e-12	4.59	TOX	full	ortholog_mean
TCGA-BRCA	log_family_mean_TOX	NCG	3369	634	2735	0.1881864054615613	1.066376451291944	0.10175865195649689	0.17638166339126127	0.8004277405666668	18.82	TOX	log	family_mean
TCGA-BRCA	log_family_mean_TOX	MERGED	3369	681	2688	0.20213713268032057	0.9971050209228266	0.5325102639962496	0.7100136853283328	1	20.21	TOX	log	family_mean
TCGA-BRCA	log_family_mean_TOX	OncoKB	3369	158	3211	0.046898189373701396	0.6206172544655816	0.999999995266843	0.9999999999488592	1	4.69	TOX	log	family_mean
TCGA-BRCA	log_family_mean_TOX	CGC	3369	57	3312	0.016918967052537846	0.44993098208177024	0.999999999854255	0.9999999999488592	1	1.69	TOX	log	family_mean
TCGA-BRCA	log_ortholog_mean_TOX	NCG	3324	610	2714	0.18351383874849578	1.0256605909240282	0.31456392286593965	0.43203520985205873	1	18.35	TOX	log	ortholog_mean
TCGA-BRCA	log_ortholog_mean_TOX	MERGED	3324	654	2670	0.1967509025270758	0.9561640113698053	0.8280522418074848	0.9999999999488592	1	19.68	TOX	log	ortholog_mean
TCGA-BRCA	log_ortholog_mean_TOX	OncoKB	3324	152	3172	0.0457280385078219	0.6026224056678195	0.9999999991379309	0.9999999999488592	1	4.57	TOX	log	ortholog_mean
TCGA-BRCA	log_ortholog_mean_TOX	CGC	3324	55	3269	0.01654632972322503	0.43953999997315085	0.999999999928757	0.9999999999488592	1	1.65	TOX	log	ortholog_mean
TCGA-BRCA	std_log_family_mean_TOX	OncoKB	5974	549	5425	0.09189822564445932	1.737707625081779	3.2035105784022546e-19	5.5527516692305744e-18	2.5198631122276968e-17	9.19	TOX	std_log	family_mean
TCGA-BRCA	std_log_family_mean_TOX	MERGED	5974	1408	4566	0.2356879812520924	1.3655490870177511	1.8196972938744186e-15	1.3517751325924254e-14	6.134414963164297e-14	23.57	TOX	std_log	family_mean
TCGA-BRCA	std_log_family_mean_TOX	CGC	5974	277	5697	0.04636759290257784	1.866196159745256	5.93198852382849e-13	2.372795409531396e-12	1.0767849854466628e-11	4.64	TOX	std_log	family_mean
TCGA-BRCA	std_log_family_mean_TOX	NCG	5974	1246	4728	0.20857047204553064	1.33354562634238	1.7800980384796912e-12	6.611792714353139e-12	3.0004605930635725e-11	20.86	TOX	std_log	family_mean
