cancer_id	group	cancer_label	detected_n	cancer_detected_n	noncancer_detected_n	precision	odds_ratio	p_value	p_adjust_BH	p_adjust_BY	precision_percent	tool	norm_method	comparison_method
TCGA-COAD	ALL_DGE	OncoKB	13653	980	12673	0.07177909616934007	1.142681262266495	0.09684862004159413	0.15737900756759046	0.7141928532588718	7.18	DGE	NA	NA
TCGA-COAD	ALL_DGE	MERGED	13653	2805	10848	0.2054493517908152	1.0404450033481842	0.269173361125025	0.37829769671625135	1	20.54	DGE	NA	NA
TCGA-COAD	ALL_DGE	CGC	13653	477	13176	0.03493737640079104	1.0784858404614335	0.318627663209585	0.42483688427944666	1	3.49	DGE	NA	NA
TCGA-COAD	ALL_DGE	NCG	13653	2483	11170	0.18186479162088917	1.0113000025581438	0.4442762737977043	0.5775591559370156	1	18.19	DGE	NA	NA
TCGA-COAD	ALL_TOX	NCG	8325	1661	6664	0.19951951951951952	1.2977390694122863	2.955877960179644e-10	1.3973241266303773e-9	6.3411183000185785e-9	19.95	TOX	NA	NA
TCGA-COAD	ALL_TOX	MERGED	8325	1852	6473	0.22246246246246246	1.2671949691433333	1.876034774025184e-9	8.129484020775796e-9	3.6891955782773176e-8	22.25	TOX	NA	NA
TCGA-COAD	ALL_TOX	OncoKB	8325	661	7664	0.0793993993993994	1.3322982967525954	3.393538373587316e-6	8.021090701206384e-6	3.6400062134605184e-5	7.94	TOX	NA	NA
TCGA-COAD	ALL_TOX	CGC	8325	325	8000	0.03903903903903904	1.3331941568163566	7.087079629960101e-4	0.0015355339198246886	0.0069683204159511685	3.9	TOX	NA	NA
TCGA-COAD	ALL_edgeR	OncoKB	12584	909	11675	0.07223458359821996	1.1297520841831752	0.0729926337014	0.1355577483026	0.6151670196547813	7.22	edgeR	NA	NA
TCGA-COAD	ALL_edgeR	CGC	12584	449	12135	0.035680228862047046	1.187287936423981	0.07771324074200588	0.13934787995118295	0.6323668036549801	3.57	edgeR	NA	NA
TCGA-COAD	ALL_edgeR	MERGED	12584	2602	9982	0.20677050222504767	1.0708441604811219	0.09422852644593056	0.15737900756759046	0.7141928532588718	20.68	edgeR	NA	NA
TCGA-COAD	ALL_edgeR	NCG	12584	2307	10277	0.18332803560076288	1.0611038892015798	0.13933806781012967	0.2131052801801983	0.9670811275834339	18.33	edgeR	NA	NA
TCGA-COAD	ALL_limma	OncoKB	12481	910	11571	0.07291082445316882	1.1899509545248002	0.01779875937220273	0.034279092124242294	0.15556002664981833	7.29	limma	NA	NA
TCGA-COAD	ALL_limma	CGC	12481	445	12036	0.035654194375450685	1.1748442258956286	0.08809706064252464	0.15270157178037605	0.6929664440799277	3.57	limma	NA	NA
TCGA-COAD	ALL_limma	MERGED	12481	2580	9901	0.2067142055925006	1.0664378250722448	0.10529864072566644	0.16592513084044408	0.7529755362791599	20.67	limma	NA	NA
