uniprot	gene_symbol	is_CGC	is_NCG	is_OncoKB	is_MERGED
A0A024R1R8	TMA7B	FALSE	FALSE	FALSE	FALSE
A0A024RBG1	NUDT4B	FALSE	FALSE	FALSE	FALSE
A0A075B6I3	IGLV11-55	FALSE	FALSE	FALSE	FALSE
A0A075B6J6	IGLV3-22	FALSE	FALSE	FALSE	FALSE
A0A075B6S9	IGKV1-37	FALSE	FALSE	FALSE	FALSE
A0A075B734	AQP7B	FALSE	FALSE	FALSE	FALSE
A0A075B759	PPIAL4E	FALSE	FALSE	FALSE	FALSE
A0A075B767	PPIAL4H	FALSE	FALSE	FALSE	FALSE
A0A087WUL8	NBPF19	FALSE	FALSE	FALSE	FALSE
A0A087WV62	TRBV16	FALSE	FALSE	FALSE	FALSE
A0A087WVF3	TBC1D3D	FALSE	FALSE	FALSE	FALSE
A0A087WW87	IGKV2-40	FALSE	FALSE	FALSE	FALSE
A0A087WXS9	TBC1D3I	FALSE	FALSE	FALSE	FALSE
A0A087X0K7	TRBV17	FALSE	FALSE	FALSE	FALSE
A0A087X179	TBC1D3E	FALSE	FALSE	FALSE	FALSE
A0A087X1G2	TBC1D3K	FALSE	FALSE	FALSE	FALSE
A0A096LNW5	NOTCH2NLR	FALSE	FALSE	FALSE	FALSE
A0A0A0MRZ7	IGKV2D-26	FALSE	FALSE	FALSE	FALSE
A0A0A0MRZ9	IGLV5-52	FALSE	FALSE	FALSE	FALSE
A0A0A0MS00	IGLV3-32	FALSE	FALSE	FALSE	FALSE
A0A0A0MS04	TRBV6-7	FALSE	FALSE	FALSE	FALSE
A0A0A0MT76	IGLJ1	FALSE	FALSE	FALSE	FALSE
A0A0A6YYG3	TRBV6-8	FALSE	FALSE	FALSE	FALSE
A0A0A6YYK4	TRBV7-1	FALSE	FALSE	FALSE	FALSE
A0A0B4J238	TRAV1-2	FALSE	FALSE	FALSE	FALSE
A0A0B4J249	TRAV5	FALSE	FALSE	FALSE	FALSE
A0A0C4DH26	IGKV6D-41	FALSE	FALSE	FALSE	FALSE
A0A0C4DH30	IGHV3-16	FALSE	FALSE	FALSE	FALSE
A0A0K0K1A3	TRBV10-1	FALSE	FALSE	FALSE	FALSE
A0A0K2S4Q6	CD300H	FALSE	FALSE	FALSE	FALSE
A0A0U1RRK4	LBHD2	FALSE	FALSE	FALSE	FALSE
A0A1B0GUJ8	PNMA8C	FALSE	FALSE	FALSE	FALSE
A0A1B0GUS4	UBE2L5	FALSE	FALSE	FALSE	FALSE
A0A1B0GVZ6	MBD3L2B	FALSE	FALSE	FALSE	FALSE
A0A1B0GX95	TRBV7-4	FALSE	FALSE	FALSE	FALSE
A0A1W2PPD8	KDM4F	FALSE	FALSE	FALSE	FALSE
A0A1W2PPG7	GNG14	FALSE	FALSE	FALSE	FALSE
A0A1W2PQ27	SSU72L1	FALSE	FALSE	FALSE	FALSE
A0A1W2PQ64	SSU72L5	FALSE	FALSE	FALSE	FALSE
A0A1W2PQ73	ERFL	FALSE	FALSE	FALSE	FALSE
A0A1W2PQD8	SSU72L2	FALSE	FALSE	FALSE	FALSE
A0A1W2PQJ5	SSU72L3	FALSE	FALSE	FALSE	FALSE
A0A1W2PQL4	ZNF722	FALSE	FALSE	FALSE	FALSE
A0A1W2PR48	TLE7	FALSE	FALSE	FALSE	FALSE
A0A1W2PR75	SSU72L6	FALSE	FALSE	FALSE	FALSE
A0A1W2PR95	IGBP1C	FALSE	FALSE	FALSE	FALSE
A0A1W2PRP0	FOXL3	FALSE	FALSE	FALSE	FALSE
A0A2R8Y619	H2BK1	FALSE	FALSE	FALSE	FALSE
A0A2Z4LIS9	FOXO3B	FALSE	FALSE	FALSE	FALSE
A0A3B3IT33	TRIM51G	FALSE	FALSE	FALSE	FALSE
A0A3B3IU63	H2AL3	FALSE	FALSE	FALSE	FALSE
A0A5F9ZHS7	NFILZ	FALSE	FALSE	FALSE	FALSE
A0A7P0TBJ1	HAPSTR2	FALSE	FALSE	FALSE	FALSE
A0A804HLA8	GNG5B	FALSE	FALSE	FALSE	FALSE
A0A8V8TMC4	CCNYL1B	FALSE	FALSE	FALSE	FALSE
A0AVI2	FER1L5	FALSE	FALSE	FALSE	FALSE
A0FGR9	ESYT3	FALSE	FALSE	FALSE	FALSE
A0PG75	PLSCR5	FALSE	FALSE	FALSE	FALSE
A0PJX0	CIB4	FALSE	FALSE	FALSE	FALSE
A0PJX2	TLDC2	FALSE	FALSE	FALSE	FALSE
A1L3X0	ELOVL7	FALSE	FALSE	FALSE	FALSE
A1L453	PRSS38	FALSE	TRUE	FALSE	TRUE
A1L4K1	FSD2	FALSE	FALSE	FALSE	FALSE
A1Z1Q3	MACROD2	FALSE	TRUE	FALSE	TRUE
A2PYH4	HFM1	FALSE	FALSE	FALSE	FALSE
A4D0S4	LAMB4	FALSE	FALSE	FALSE	FALSE
A4D1T9	PRSS37	FALSE	FALSE	FALSE	FALSE
A4D256	CDC14C	FALSE	FALSE	FALSE	FALSE
A4D2H0	CTAGE15	FALSE	FALSE	FALSE	FALSE
A5D8T8	CLEC18A	FALSE	FALSE	FALSE	FALSE
A5D8V6	VPS37C	FALSE	FALSE	FALSE	FALSE
A5LHX3	PSMB11	FALSE	FALSE	FALSE	FALSE
A5YM69	ARHGEF35	FALSE	FALSE	FALSE	FALSE
A6H8M9	CDHR4	FALSE	TRUE	FALSE	TRUE
A6NC51	TMEM150B	FALSE	FALSE	FALSE	FALSE
A6NCK2	TRIM43B	FALSE	FALSE	FALSE	FALSE
A6NCS4	NKX2-6	FALSE	FALSE	FALSE	FALSE
A6NCW0	USP17L3	FALSE	FALSE	FALSE	FALSE
A6NCW7	USP17L4	FALSE	FALSE	FALSE	FALSE
A6ND01	IZUMO1R	FALSE	FALSE	FALSE	FALSE
A6NDI0	TRIM49B	FALSE	FALSE	FALSE	FALSE
A6NDS4	TBC1D3B	FALSE	TRUE	FALSE	TRUE
A6NDY0	PABPN1L	FALSE	FALSE	FALSE	FALSE
A6NDZ8	MBD3L4	FALSE	FALSE	FALSE	FALSE
A6NE02	BTBD17	FALSE	FALSE	FALSE	FALSE
A6NE82	MBD3L3	FALSE	FALSE	FALSE	FALSE
A6NEQ0	RBMY1E	FALSE	FALSE	FALSE	FALSE
A6NER0	TBC1D3F	FALSE	FALSE	FALSE	FALSE
A6NF34	ANTXRL	FALSE	FALSE	FALSE	FALSE
A6NFD8	HELT	FALSE	FALSE	FALSE	FALSE
A6NFH5	FABP12	FALSE	FALSE	FALSE	FALSE
A6NFU8	PGPEP1L	FALSE	FALSE	FALSE	FALSE
A6NG13	MGAT4D	FALSE	FALSE	FALSE	FALSE
A6NGE4	DCAF8L1	FALSE	FALSE	FALSE	FALSE
A6NH57	ARL5C	FALSE	FALSE	FALSE	FALSE
A6NI03	TRIM64B	FALSE	FALSE	FALSE	FALSE
A6NI73	LILRA5	FALSE	FALSE	FALSE	FALSE
A6NI87	CBY3	FALSE	FALSE	FALSE	FALSE
A6NIH7	UNC119B	FALSE	FALSE	FALSE	FALSE
A6NIR3	AGAP5	FALSE	FALSE	FALSE	FALSE
A6NJ08	MBD3L5	FALSE	FALSE	FALSE	FALSE
A6NJI9	LRRC72	FALSE	FALSE	FALSE	FALSE
A6NJW4	LRRC3C	FALSE	FALSE	FALSE	FALSE
A6NK02	TRIM75	FALSE	FALSE	FALSE	FALSE
A6NK75	ZNF98	FALSE	FALSE	FALSE	FALSE
A6NKD2	TSPY2	FALSE	FALSE	FALSE	FALSE
A6NKP2	SDR42E2	FALSE	FALSE	FALSE	FALSE
A6NKT7	RGPD3	FALSE	TRUE	FALSE	TRUE
A6NLI5	TRIM64C	FALSE	FALSE	FALSE	FALSE
A6NMB9	FIGNL2	FALSE	FALSE	FALSE	FALSE
A6NMX2	EIF4E1B	FALSE	FALSE	FALSE	FALSE
A6NN14	ZNF729	FALSE	FALSE	FALSE	FALSE
A6NNB3	IFITM5	FALSE	FALSE	FALSE	FALSE
A6NNM8	TTLL13	FALSE	FALSE	FALSE	FALSE
A6NNN8	SLC38A8	FALSE	TRUE	FALSE	TRUE
A6NNS2	DHRS7C	FALSE	FALSE	FALSE	FALSE
A6NNZ2	TUBB8B	FALSE	FALSE	FALSE	FALSE
A6NP11	ZNF716	FALSE	FALSE	FALSE	FALSE
A6PVI3	NCBP2L	FALSE	FALSE	FALSE	FALSE
A7KAX9	ARHGAP32	FALSE	TRUE	FALSE	TRUE
A8K2U0	A2ML1	FALSE	TRUE	FALSE	TRUE
A8MPX8	PP2D1	FALSE	FALSE	FALSE	FALSE
A8MTJ3	GNAT3	FALSE	FALSE	FALSE	FALSE
A8MTJ6	FOXI3	FALSE	FALSE	FALSE	FALSE
A8MV23	SERPINE3	FALSE	FALSE	FALSE	FALSE
A8MV81	HIGD1C	FALSE	FALSE	FALSE	FALSE
A8MW95	BECN2	FALSE	FALSE	FALSE	FALSE
A8MXY4	ZNF99	FALSE	TRUE	FALSE	TRUE
A8MZ36	EVPLL	FALSE	FALSE	FALSE	FALSE
A9QM74	KPNA7	FALSE	FALSE	FALSE	FALSE
B1APH4	ZNF487	FALSE	FALSE	FALSE	FALSE
B2RXF5	ZBTB42	FALSE	FALSE	FALSE	FALSE
B2RXH2	KDM4E	FALSE	FALSE	FALSE	FALSE
B2RXH4	BTBD18	FALSE	FALSE	FALSE	FALSE
B2RXH8	HNRNPCL2	FALSE	FALSE	FALSE	FALSE
B4DXR9	ZNF732	FALSE	FALSE	FALSE	FALSE
B7ZBB8	PPP1R3G	FALSE	FALSE	FALSE	FALSE
B7ZW38	HNRNPCL3	FALSE	FALSE	FALSE	FALSE
C9J1S8	TRIM49D1; TRIM49D2	FALSE	FALSE	FALSE	FALSE
C9J2P7	USP17L15	FALSE	FALSE	FALSE	FALSE
C9JBD0	KRABD1	FALSE	FALSE	FALSE	FALSE
C9JJH3	USP17L10	FALSE	FALSE	FALSE	FALSE
C9JLW8	MCRIP1	FALSE	FALSE	FALSE	FALSE
E9PB15	PTGES3L	FALSE	FALSE	FALSE	FALSE
E9PQ53	NDUFC2-KCTD14	FALSE	FALSE	FALSE	FALSE
I1YAP6	TRIM77	FALSE	FALSE	FALSE	FALSE
O00110	OVOL3	FALSE	FALSE	FALSE	FALSE
O00168	FXYD1	FALSE	FALSE	FALSE	FALSE
O00214	LGALS8	FALSE	FALSE	FALSE	FALSE
O00219	HAS3	FALSE	FALSE	FALSE	FALSE
O00238	BMPR1B	FALSE	FALSE	FALSE	FALSE
O00264	PGRMC1	FALSE	FALSE	FALSE	FALSE
O00294	TULP1	FALSE	FALSE	FALSE	FALSE
O00295	TULP2	FALSE	FALSE	FALSE	FALSE
O00321	ETV2	FALSE	FALSE	FALSE	FALSE
O00330	PDHX	FALSE	FALSE	FALSE	FALSE
O00337	SLC28A1	FALSE	FALSE	FALSE	FALSE
O00459	PIK3R2	FALSE	TRUE	TRUE	TRUE
O00481	BTN3A1	FALSE	FALSE	FALSE	FALSE
O00507	USP9Y	FALSE	FALSE	FALSE	FALSE
O00519	FAAH	FALSE	FALSE	FALSE	FALSE
O00560	SDCBP	FALSE	FALSE	FALSE	FALSE
O00626	CCL22	FALSE	FALSE	FALSE	FALSE
O00757	FBP2	FALSE	FALSE	FALSE	FALSE
O14543	SOCS3	FALSE	FALSE	TRUE	TRUE
O14548	COX7A2L	FALSE	FALSE	FALSE	FALSE
O14556	GAPDHS	FALSE	FALSE	FALSE	FALSE
O14602	EIF1AY	FALSE	FALSE	FALSE	FALSE
O14604	TMSB4Y	FALSE	FALSE	FALSE	FALSE
O14607	UTY	FALSE	FALSE	FALSE	FALSE
O14613	CDC42EP2	FALSE	FALSE	FALSE	FALSE
O14627	CDX4	FALSE	TRUE	FALSE	TRUE
O14639	ABLIM1	FALSE	FALSE	FALSE	FALSE
O14641	DVL2	FALSE	FALSE	FALSE	FALSE
O14654	IRS4	TRUE	TRUE	TRUE	TRUE
O14656	TOR1A	FALSE	FALSE	FALSE	FALSE
O14686	KMT2D	TRUE	TRUE	TRUE	TRUE
O14733	MAP2K7	FALSE	TRUE	FALSE	TRUE
O14775	GNB5	FALSE	FALSE	FALSE	FALSE
O14830	PPEF2	FALSE	FALSE	FALSE	FALSE
O14842	FFAR1	FALSE	FALSE	FALSE	FALSE
O14867	BACH1	FALSE	FALSE	TRUE	TRUE
O14874	BCKDK	FALSE	FALSE	FALSE	FALSE
O14894	TM4SF5	FALSE	FALSE	FALSE	FALSE
O14901	KLF11	FALSE	FALSE	FALSE	FALSE
O14910	LIN7A	FALSE	TRUE	FALSE	TRUE
O14939	PLD2	FALSE	FALSE	FALSE	FALSE
O14990	PPP1R2C	FALSE	FALSE	FALSE	FALSE
O15031	PLXNB2	FALSE	TRUE	FALSE	TRUE
O15049	N4BP3	FALSE	FALSE	FALSE	FALSE
O15083	ERC2	FALSE	FALSE	FALSE	FALSE
O15120	AGPAT2	FALSE	FALSE	FALSE	FALSE
O15121	DEGS1	FALSE	FALSE	FALSE	FALSE
