uniprot	gene_symbol
A0A024R1R8	TMA7B
A0A024RBG1	NUDT4B
A0A075B6H7	IGKV3-7
A0A075B6H8	IGKV1D-42
A0A075B6H9	IGLV4-69
A0A075B6I0	IGLV8-61
A0A075B6I1	IGLV4-60
A0A075B6I3	IGLV11-55
A0A075B6I4	IGLV10-54
A0A075B6I6	IGLV1-50
A0A075B6I7	IGLV5-48
A0A075B6I9	IGLV7-46
A0A075B6J1	IGLV5-37
A0A075B6J2	IGLV2-33
A0A075B6J6	IGLV3-22
A0A075B6J9	IGLV2-18
A0A075B6K0	IGLV3-16
A0A075B6K2	IGLV3-12
A0A075B6K4	IGLV3-10
A0A075B6K5	IGLV3-9
A0A075B6K6	IGLV4-3
A0A075B6L6	TRBV7-3
A0A075B6N1	TRBV19
A0A075B6N2	TRBV20-1
A0A075B6P5	IGKV2-28
A0A075B6Q5	IGHV3-64
A0A075B6R2	IGHV4-4
A0A075B6R9	IGKV2D-24
A0A075B6S2	IGKV2D-29
A0A075B6S4	IGKV1D-17
A0A075B6S5	IGKV1-27
A0A075B6S6	IGKV2D-30
A0A075B6S9	IGKV1-37
A0A075B6T6	TRAV12-2
A0A075B734	AQP7B
A0A075B759	PPIAL4E
A0A075B767	PPIAL4H
A0A087WSX0	IGLV5-45
A0A087WSY4	IGHV4-30-2
A0A087WSY6	IGKV3D-15
A0A087WSZ0	IGKV1D-8
A0A087WT02	TRAV9-2
A0A087WT03	TRAV26-1
A0A087WUL8	NBPF19
A0A087WUV0	ZNF892
A0A087WV62	TRBV16
A0A087WVF3	TBC1D3D
A0A087WW87	IGKV2-40
A0A087WXS9	TBC1D3I
A0A087X0K7	TRBV17
A0A087X0M5	TRBV18
A0A087X179	TBC1D3E
A0A087X1G2	TBC1D3K
A0A096LNW5	NOTCH2NLR
A0A096LP01	SMIM26
A0A096LP49	CCDC187
A0A096LP55	UQCRHL
A0A0A0MRZ7	IGKV2D-26
A0A0A0MRZ8	IGKV3D-11
A0A0A0MRZ9	IGLV5-52
A0A0A0MS00	IGLV3-32
A0A0A0MS01	TRGV10
A0A0A0MS04	TRBV6-7
A0A0A0MS14	IGHV1-45
A0A0A0MS15	IGHV3-49
A0A0A0MT36	IGKV6D-21
A0A0A0MT76	IGLJ1
A0A0A6YYG2	TRBV6-6
A0A0A6YYG3	TRBV6-8
A0A0A6YYJ7	TRAV8-3
A0A0A6YYK4	TRBV7-1
A0A0A6YYK7	TRAV19
A0A0B4J1U3	IGLV1-36
A0A0B4J1U6	TRBV9
A0A0B4J1U7	IGHV6-1
A0A0B4J1V0	IGHV3-15
A0A0B4J1V1	IGHV3-21
A0A0B4J1V2	IGHV2-26
A0A0B4J1V6	IGHV3-73
A0A0B4J1V7	IGHV7-81
A0A0B4J1X5	IGHV3-74
A0A0B4J1X8	IGHV3-43
A0A0B4J1Y8	IGLV9-49
A0A0B4J1Y9	IGHV3-72
A0A0B4J1Z2	IGKV1D-43
A0A0B4J234	TRAV2
A0A0B4J235	TRAV13-2
A0A0B4J237	TRAV8-2
A0A0B4J238	TRAV1-2
A0A0B4J241	TRAV13-1
A0A0B4J244	TRAV3
A0A0B4J245	TRAV12-1
A0A0B4J249	TRAV5
A0A0B4J262	TRAV8-6
A0A0B4J271	TRAV12-3
A0A0B4J275	TRAV17
A0A0B4J279	TRAV21
A0A0B4J2D9	IGKV1D-13
A0A0B4J2E0	TRBV12-4
A0A0B4J2H0	IGHV1-69D
A0A0C4DH24	IGKV6-21
A0A0C4DH25	IGKV3D-20
A0A0C4DH26	IGKV6D-41
A0A0C4DH28	TRGV4
A0A0C4DH29	IGHV1-3
A0A0C4DH30	IGHV3-16
A0A0C4DH31	IGHV1-18
A0A0C4DH32	IGHV3-20
A0A0C4DH33	IGHV1-24
A0A0C4DH34	IGHV4-28
A0A0C4DH35	IGHV3-35
A0A0C4DH36	IGHV3-38
A0A0C4DH38	IGHV5-51
A0A0C4DH39	IGHV1-58
A0A0C4DH41	IGHV4-61
A0A0C4DH42	IGHV3-66
A0A0C4DH43	IGHV2-70D
A0A0C4DH55	IGKV3D-7
A0A0C4DH59	TRBV5-4
A0A0C4DH62	IGHJ1
A0A0C4DH67	IGKV1-8
A0A0C4DH68	IGKV2-24
A0A0C4DH69	IGKV1-9
A0A0C4DH72	IGKV1-6
A0A0C4DH73	IGKV1-12
A0A0D9SF12	CCDC163
A0A0G2JMI3	IGHV1-69-2
A0A0J9YVY3	IGHV7-4-1
A0A0J9YX35	IGHV3-64D
A0A0J9YXV3	GREP1
A0A0J9YXX1	IGHV5-10-1
A0A0J9YXY3	TRBV6-2
A0A0K0K1A3	TRBV10-1
A0A0K0K1A5	TRBV6-5
A0A0K0K1C4	TRBV27
A0A0K0K1D8	TRBV6-1
A0A0K0K1G6	TRBV10-3
A0A0K2S4Q6	CD300H
A0A0U1RRE5	NBDY
A0A0U1RRK4	LBHD2
A0A0U1RRN3	MISFA
A0A1B0GTC6	C3ORF85
A0A1B0GTL2	C20ORF204
A0A1B0GTR0	EDDM13
A0A1B0GTU2	CTXND1
A0A1B0GTZ2	CCDC196
A0A1B0GU29	SMIM28
A0A1B0GUA5	SMIM32
A0A1B0GUA9	C13ORF46
A0A1B0GUI7	BRD3OS
A0A1B0GUJ8	PNMA8C
A0A1B0GUS4	UBE2L5
A0A1B0GUT2	C10ORF143
A0A1B0GUU1	C17ORF113
A0A1B0GUX0	SPMIP1
A0A1B0GV96	CHD9NB
A0A1B0GVB3	C7ORF78
A0A1B0GVH4	PRSS51
A0A1B0GVH7	IQCM
A0A1B0GVN3	C2ORF92
A0A1B0GVQ0	SPAAR
A0A1B0GVY4	SMIM31
A0A1B0GVZ6	MBD3L2B
A0A1B0GVZ9	TMEM269
A0A1B0GW64	SMIM33
A0A1B0GWB2	PRRT1B
A0A1B0GWG4	SERTM2
A0A1B0GWH6	LASP1NB
A0A1B0GX56	TRDV1
A0A1B0GX68	TRBV2
A0A1B0GX95	TRBV7-4
A0A1B0GXF2	TRBV7-2
A0A1W2PPD8	KDM4F
A0A1W2PPG7	GNG14
A0A1W2PQ27	SSU72L1
A0A1W2PQ64	SSU72L5
A0A1W2PQ72	MSANTD7
A0A1W2PQ73	ERFL
A0A1W2PQD8	SSU72L2
A0A1W2PQJ5	SSU72L3
A0A1W2PQL4	ZNF722
A0A1W2PQU2	KANTR
A0A1W2PR48	TLE7
A0A1W2PR75	SSU72L6
A0A1W2PR95	IGBP1C
A0A1W2PRP0	FOXL3
A0A286YF18	SMIM44
A0A2R8Y4L2	HNRNPA1L3
A0A2R8Y619	H2BK1
A0A2R8Y7D0	TINCR
A0A2Z4LIS9	FOXO3B
A0A3B3IT33	TRIM51G
A0A3B3IU46	RAMACL
A0A3B3IU63	H2AL3
A0A539	TRBV4-2
A0A576	TRBV3-1
A0A577	TRBV4-1
A0A578	TRBV5-1
A0A584	TRBV11-2
A0A590UK83	SMIM45
A0A5B6	TRBV28
A0A5B7	TRBV29-1
A0A5F9ZHS7	NFILZ
A0A6I8PU40	TUG1
A0A7I2V3R4	RNF228
A0A7P0TBJ1	HAPSTR2
A0A804HLA8	GNG5B
A0A8I5KY20	CCDC92B
A0A8V8TMC4	CCNYL1B
A0AUZ9	KANSL1L
A0AV02	SLC12A8
A0AV96	RBM47
A0AVF1	IFT56
A0AVI2	FER1L5
A0AVI4	TMEM129
A0AVK6	E2F8
A0AVT1	UBA6
A0FGR8	ESYT2
A0FGR9	ESYT3
A0JLT2	MED19
A0JNW5	BLTP3B
A0PG75	PLSCR5
A0PJE2	DHRS12
A0PJK1	SLC5A10
A0PJW6	TMEM223
A0PJW8	DAPL1
A0PJX0	CIB4
A0PJX2	TLDC2
A0PJX4	SHISA3
A0PJX8	TMEM82
A0PJY2	FEZF1
A0PJZ3	GXYLT2
A0PK00	TMEM120B
A0PK05	TMEM72
A1A4G5	LNP1
A1A4S6	ARHGAP10
A1A4V9	CFAP119
A1A5B4	ANO9
A1A5C7	SLC22A23
A1A5D9	BICDL2
A1E959	ODAM
A1IGU5	ARHGEF37
A1KXE4	FAM168B
A1L020	MEX3A
A1L157	TSPAN11
A1L162	ERICH2
A1L167	UBE2QL1
A1L170	C1ORF226
A1L188	NDUFAF8
A1L190	SYCE3
A1L1A6	IGSF23
A1L390	PLEKHG3
A1L3X0	ELOVL7
A1L453	PRSS38
A1L4H1	SSC5D
A1L4K1	FSD2
A1X283	SH3PXD2B
A1XBS5	CIBAR1
A1YPR0	ZBTB7C
A1Z1Q3	MACROD2
A2A288	ZC3H12D
A2A2Y4	FRMD3
A2A2Z9	ANKRD18B
A2A3K4	PTPDC1
A2AJT9	BCLAF3
A2IDD5	CCDC78
A2PYH4	HFM1
A2RRD8	ZNF320
A2RRH5	WDR27
A2RRP1	NBAS
A2RTX5	TARS3
A2RU30	TESPA1
A2RU67	FAM234B
A2RUB1	MEIOC
A2RUB6	CCDC66
A2RUC4	TYW5
A2RUH7	MYBPHL
A2RUR9	CCDC144A
A2RUS2	DENND3
A2RUT3	TMEM89
A2VCK2	DCDC2B
A2VDJ0	TMEM131L
A3KMH1	VWA8
A3KN83	SBNO1
A4D0S4	LAMB4
A4D0V7	CPED1
A4D161	FAM221A
A4D1B5	GSAP
A4D1E9	GTPBP10
A4D1S0	KLRG2
A4D1S5	RAB19
A4D1T9	PRSS37
A4D1U4	DENND11
A4D256	CDC14C
A4D2H0	CTAGE15
A4D2P6	GRID2IP
A4FU01	MTMR11
A4FU28	CTAGE9
A4FU49	SH3D21
A4FU69	EFCAB5
A4GXA9	EME2
A5A3E0	POTEF
A5D6W6	FITM1
A5D8T8	CLEC18A
A5D8V6	VPS37C
A5D8V7	ODAD3
A5D8W1	CFAP69
A5LHX3	PSMB11
A5PKW4	PSD
A5PL33	KRABD3
A5PLL7	PEDS1
A5PLN7	FAM149A
A5X5Y0	HTR3E
A5YM69	ARHGEF35
A5YM72	CARNS1
A6BM72	MEGF11
A6H8M9	CDHR4
A6H8Y1	BDP1
A6H8Z2	FAM221B
A6NC51	TMEM150B
A6NC86	PINLYP
A6NC98	CCDC88B
A6NCE7	MAP1LC3B2
A6NCF5	KLHL33
A6NCJ1	TEKTIP1
A6NCK2	TRIM43B
A6NCL7	ANKRD33B
A6NCS4	NKX2-6
A6NCS6	C2ORF72
A6NCW0	USP17L3
A6NCW7	USP17L4
A6ND01	IZUMO1R
A6ND36	FAM83G
A6NDA9	LRIT2
A6NDD5	SYNDIG1L
A6NDG6	PGP
A6NDI0	TRIM49B
A6NDP7	MYADML2
A6NDS4	TBC1D3B
A6NDU8	RIMOC1
A6NDV4	TMEM8B
A6NDY0	PABPN1L
A6NDZ8	MBD3L4
A6NE01	FAM186A
A6NE02	BTBD17
A6NE52	WDR97
A6NE82	MBD3L3
A6NED2	RCCD1
A6NEL2	SOWAHB
A6NEM1	GOLGA6L9
A6NEQ0	RBMY1E
A6NEQ2	FAM181B
A6NER0	TBC1D3F
A6NF34	ANTXRL
A6NF83	NUPR2
A6NFA1	TRABD2B
A6NFD8	HELT
A6NFE2	SMCO2
A6NFE3	EFCAB10
A6NFH5	FABP12
A6NFI3	ZNF316
A6NFN3	RBFOX3
A6NFQ2	TCAF2
A6NFT4	CFAP73
A6NFU8	PGPEP1L
A6NFX1	MFSD2B
A6NFY4	NEMP2
A6NG13	MGAT4D
A6NGB7	TMEM221
A6NGB9	WIPF3
A6NGC4	TLCD2
A6NGE4	DCAF8L1
A6NGE7	URAD
A6NGH8	ANKRD61
A6NGN9	IGLON5
A6NGR9	MROH6
A6NGS2	ERICH4
A6NGY3	C5ORF52
A6NH52	TVP23A
A6NH57	ARL5C
A6NHC0	CAPN8
A6NHJ4	ZNF860
A6NHL2	TUBAL3
A6NHN6	NPIPB15
A6NHQ2	FBLL1
A6NHQ4	EPOP
A6NHR9	SMCHD1
A6NHT5	HMX3
A6NHX0	CASTOR2
A6NHY2	ANKDD1B
A6NI03	TRIM64B
A6NI28	ARHGAP42
A6NI56	CCDC154
A6NI73	LILRA5
A6NI79	CCDC69
A6NI86	GOLGA6L10
A6NI87	CBY3
A6NIH7	UNC119B
A6NIK2	LRRC10B
A6NIN4	RNF227
A6NIR3	AGAP5
A6NIV6	LRRIQ4
A6NIX2	WTIP
A6NIY4	SPDYE5
A6NJ08	MBD3L5
A6NJ46	NKX6-3
A6NJ69	IGIP
A6NJB7	PRR19
A6NJG2	SOWAHD
A6NJI1	C11ORF86
A6NJI9	LRRC72
A6NJU9	NPIPB13
A6NJV1	CIMIP2C
A6NJW4	LRRC3C
A6NJY4	TMEM238L
A6NK02	TRIM75
A6NK44	GLOD5
A6NK53	ZNF233
A6NK58	LIPT2
A6NK59	ASB14
A6NK75	ZNF98
A6NK89	RASSF10
A6NKB5	PCNX2
A6NKC9	SH2D7
A6NKD2	TSPY2
A6NKD9	CCDC85C
A6NKF2	ARID3C
A6NKL6	TMEM200C
A6NKN8	PCP4L1
A6NKP2	SDR42E2
A6NKT7	RGPD3
A6NKX4	SLC22A31
A6NL82	CFAP144
A6NLC5	C3ORF70
A6NLI5	TRIM64C
A6NLJ0	C2CD4B
A6NM03	OR2AG2
A6NM10	AQP12B
A6NM28	ZFP92
A6NMB9	FIGNL2
A6NMD0	IFITM10
A6NMK7	CPSF4L
A6NMK8	INSYN2B
A6NMX2	EIF4E1B
A6NMZ2	SNTN
A6NMZ7	COL6A6
A6NN14	ZNF729
A6NN90	C2ORF81
A6NNA5	DRGX
A6NNB3	IFITM5
A6NNF4	ZNF726
A6NNL0	NUTM2B
A6NNL5	C15ORF61
A6NNM8	TTLL13
A6NNN8	SLC38A8
A6NNP5	CCDC169
A6NNS2	DHRS7C
A6NNX1	RIIAD1
A6NNY8	USP27X
A6NNZ2	TUBB8B
A6NP11	ZNF716
A6PVI3	NCBP2L
A6PVS8	LRRIQ3
A6PVY3	FAM177B
A6QL63	ABTB3
A6QL64	ANKRD36
A6XGL0	YJEFN3
A7E2F4	GOLGA8A
A7E2U8	CFAP96
A7E2V4	ZSWIM8
A7E2Y1	MYH7B
A7KAX9	ARHGAP32
A7MBM2	DISP2
A7XYQ1	SOBP
A8CG34	POM121C
A8K0S8	MEIS3P2
A8K2U0	A2ML1
A8K4G0	CD300LB
A8K5M9	C15ORF62
A8K7I4	CLCA1
A8K830	POU2AF3
A8K855	EFCAB7
A8K8P3	SFI1
A8K8V0	ZNF785
A8K979	ERI2
A8MPS7	YDJC
A8MPX8	PP2D1
A8MQ03	CYSRT1
A8MQ14	ZNF850
A8MQ27	NEURL1B
A8MQT2	GOLGA8B
A8MRT5	NPIPB5
A8MSI8	LYRM9
A8MT33	SYCE1L
A8MT65	ZNF891
A8MT69	CENPX
A8MTB9	CEACAM18
A8MTJ3	GNAT3
A8MTJ6	FOXI3
A8MTL9	HMSD
A8MTT3	CEBPZOS
A8MTY0	ZNF724
A8MU46	SMTNL1
A8MU93	C17ORF100
A8MUP2	CSKMT
A8MUV8	ZNF727
A8MV23	SERPINE3
A8MV65	VGLL3
A8MV81	HIGD1C
A8MVS5	HIDE1
A8MVW0	FAM171A2
A8MVW5	HEPACAM2
A8MVX0	ARHGEF33
A8MW92	PHF20L1
A8MW95	BECN2
A8MWE9	EFCAB8
A8MWY0	ELAPOR2
A8MX76	CAPN14
A8MXE2	B3GALT9
A8MXK1	VSTM5
A8MXQ7	IQANK1
A8MXT2	MAGEB17
A8MXV4	NUDT19
A8MXY4	ZNF99
A8MYJ7	TTC34
A8MYP8	CIMAP1B
A8MYZ6	FOXO6
A8MZ36	EVPLL
A8TX70	COL6A5
A9QM74	KPNA7
A9UHW6	MIF4GD
B0I1T2	MYO1G
B0YJ81	HACD1
B1AJZ9	FHAD1
B1AK53	ESPN
B1AKI9	ISM1
B1AL88	NALF1
B1APH4	ZNF487
B2CW77	KLLN
B2RBV5	MRFAP1L2
B2RPK0	HMGB1P1
B2RTY4	MYO9A
B2RUZ4	SMIM1
B2RXF0	TMEM229A
B2RXF5	ZBTB42
B2RXH2	KDM4E
B2RXH4	BTBD18
B2RXH8	HNRNPCL2
B3KS81	SRRM5
B3KU38	IQCJ-SCHIP1
B4DH59	NBPF26
B4DJY2	TMEM233
B4DS77	SHISA9
B4DU55	ZNF879
B4DX44	ZNF736
B4DXR9	ZNF732
B5MCN3	SEC14L6
B5ME19	EIF3CL
B7Z1M9	C2CD4D
B7Z6K7	ZNF814
B7ZAQ6	GPR89A
B7ZBB8	PPP1R3G
B7ZW38	HNRNPCL3
B9A064	IGLL5
B9A6J9	TBC1D3L
B9EJG8	TMEM150C
C9J1S8	TRIM49D1; TRIM49D2
C9J202	ALG1L2
C9J2P7	USP17L15
C9J3I9	C5ORF58
C9J3V5	TEX22
C9J798	RASA4B
C9JBD0	KRABD1
C9JCN9	HSBP1L1
C9JE40	PATL2
C9JFL3	PHGR1
C9JH25	PRRT4
C9JI98	TMEM238
C9JJ37	BTBD19
C9JJH3	USP17L10
C9JLR9	ZFTA
C9JLW8	MCRIP1
C9JN71	ZNF878
C9JQI7	TMEM232
C9JRZ8	AKR1B15
C9JUS6	ADM5
C9JVW0	INAFM1
D3DTV9	PRAC2
D6REC4	CFAP99
D6RGH6	MCIDAS
E0CX11	STMP1
E5RHQ5	NPIPB11
E5RJM6	ANKRD65
E5RQL4	FTCDNL1
E7ETH6	ZNF587B
E7EW31	PROB1
E9PAV3	NACA
E9PB15	PTGES3L
E9PKD4	NPIPA5
E9PQ53	NDUFC2-KCTD14
F2Z333	FNDC10
F5H4A9	C3ORF80
F5H4B4	FAM227A
F8W0I5	NPIPB12
F8WBI6	GOLGA8N
H0Y354	FAM72C
H3BMG3	SMKR1
H3BPM6	MKRN2OS
H3BQB6	STMND1
H3BQW9	FAM229A
H3BRN8	PIERCE2
H3BS89	TMEM178B
H3BV60	TGFBR3L
H7C350	CCDC188
I0J062	PANO1
I1YAP6	TRIM77
I3L3R5	CCER2
I6L899	GOLGA8R
O00110	OVOL3
O00115	DNASE2
O00116	AGPS
O00124	UBXN8
O00139	KIF2A
O00141	SGK1
O00142	TK2
O00144	FZD9
O00148	DDX39A
O00151	PDLIM1
O00154	ACOT7
O00155	GPR25
O00159	MYO1C
O00160	MYO1F
O00161	SNAP23
O00165	HAX1
O00167	EYA2
O00168	FXYD1
O00170	AIP
O00175	CCL24
O00178	GTPBP1
O00182	LGALS9
O00186	STXBP3
O00187	MASP2
O00189	AP4M1
O00192	ARVCF
O00193	SMAP
O00194	RAB27B
O00198	HRK
O00203	AP3B1
O00204	SULT2B1
O00206	TLR4
O00212	RHOD
O00213	APBB1
O00214	LGALS8
O00217	NDUFS8
O00219	HAS3
O00220	TNFRSF10A
O00221	NFKBIE
O00222	GRM8
O00231	PSMD11
O00232	PSMD12
O00233	PSMD9
O00237	RNF103
O00238	BMPR1B
O00241	SIRPB1
O00244	ATOX1
O00254	F2RL2
O00255	MEN1
O00257	CBX4
O00264	PGRMC1
O00268	TAF4
O00273	DFFA
O00287	RFXAP
O00291	HIP1
O00292	LEFTY2
O00294	TULP1
O00295	TULP2
O00299	CLIC1
O00300	TNFRSF11B
O00305	CACNB4
O00308	WWP2
O00311	CDC7
O00321	ETV2
O00327	BMAL1
O00329	PIK3CD
O00330	PDHX
O00337	SLC28A1
O00338	SULT1C2
O00339	MATN2
O00341	SLC1A7
O00391	QSOX1
O00398	P2RY10
O00399	DCTN6
O00400	SLC33A1
O00401	WASL
O00408	PDE2A
O00409	FOXN3
O00410	IPO5
O00411	POLRMT
O00418	EEF2K
O00421	CCRL2
O00422	SAP18
O00423	EML1
O00425	IGF2BP3
O00429	DNM1L
O00442	RTCA
O00443	PIK3C2A
O00444	PLK4
O00445	SYT5
O00451	GFRA2
O00453	LST1
O00458	IFRD1
O00459	PIK3R2
O00461	GOLIM4
O00462	MANBA
O00463	TRAF5
O00468	AGRN
O00469	PLOD2
O00470	MEIS1
O00471	EXOC5
O00472	ELL2
O00478	BTN3A3
O00479	HMGN4
O00481	BTN3A1
O00482	NR5A2
O00483	COXFA4
O00487	PSMD14
O00499	BIN1
O00501	CLDN5
O00505	KPNA3
O00506	STK25
O00507	USP9Y
O00512	BCL9
O00515	LAD1
