uniprot	gene_symbol	is_CGC	is_NCG	is_OncoKB	is_MERGED
A0A024RBG1	NUDT4B	FALSE	FALSE	FALSE	FALSE
A0A075B6H8	IGKV1D-42	FALSE	FALSE	FALSE	FALSE
A0A075B6I6	IGLV1-50	FALSE	FALSE	FALSE	FALSE
A0A075B6J2	IGLV2-33	FALSE	FALSE	FALSE	FALSE
A0A075B6J6	IGLV3-22	FALSE	FALSE	FALSE	FALSE
A0A075B6K0	IGLV3-16	FALSE	FALSE	FALSE	FALSE
A0A075B6S9	IGKV1-37	FALSE	FALSE	FALSE	FALSE
A0A075B759	PPIAL4E	FALSE	FALSE	FALSE	FALSE
A0A075B767	PPIAL4H	FALSE	FALSE	FALSE	FALSE
A0A087WV53	SPEGNB	FALSE	FALSE	FALSE	FALSE
A0A087WVF3	TBC1D3D	FALSE	FALSE	FALSE	FALSE
A0A087WXS9	TBC1D3I	FALSE	FALSE	FALSE	FALSE
A0A087X179	TBC1D3E	FALSE	FALSE	FALSE	FALSE
A0A087X1G2	TBC1D3K	FALSE	FALSE	FALSE	FALSE
A0A096LNW5	NOTCH2NLR	FALSE	FALSE	FALSE	FALSE
A0A0A0MS00	IGLV3-32	FALSE	FALSE	FALSE	FALSE
A0A0A0MT76	IGLJ1	FALSE	FALSE	FALSE	FALSE
A0A0B4J1Z2	IGKV1D-43	FALSE	FALSE	FALSE	FALSE
A0A0C4DH26	IGKV6D-41	FALSE	FALSE	FALSE	FALSE
A0A0C4DH30	IGHV3-16	FALSE	FALSE	FALSE	FALSE
A0A0C4DH35	IGHV3-35	FALSE	FALSE	FALSE	FALSE
A0A0C4DH36	IGHV3-38	FALSE	FALSE	FALSE	FALSE
A0A0C4DH55	IGKV3D-7	FALSE	FALSE	FALSE	FALSE
A0A0U1RQE8	GLYATL1B	FALSE	FALSE	FALSE	FALSE
A0A1B0GVZ6	MBD3L2B	FALSE	FALSE	FALSE	FALSE
A0A1B0GWK0	PVALEF	FALSE	FALSE	FALSE	FALSE
A0A1W2PPD8	KDM4F	FALSE	FALSE	FALSE	FALSE
A0A1W2PPG7	GNG14	FALSE	FALSE	FALSE	FALSE
A0A1W2PQ27	SSU72L1	FALSE	FALSE	FALSE	FALSE
A0A1W2PQ64	SSU72L5	FALSE	FALSE	FALSE	FALSE
A0A1W2PQC6	SSU72L4	FALSE	FALSE	FALSE	FALSE
A0A1W2PQD8	SSU72L2	FALSE	FALSE	FALSE	FALSE
A0A1W2PQJ5	SSU72L3	FALSE	FALSE	FALSE	FALSE
A0A1W2PR48	TLE7	FALSE	FALSE	FALSE	FALSE
A0A1W2PR75	SSU72L6	FALSE	FALSE	FALSE	FALSE
A0A1W2PR95	IGBP1C	FALSE	FALSE	FALSE	FALSE
A0A1W2PRP0	FOXL3	FALSE	FALSE	FALSE	FALSE
A0A2R8Y619	H2BK1	FALSE	FALSE	FALSE	FALSE
A0A3B3IT33	TRIM51G	FALSE	FALSE	FALSE	FALSE
A0A3B3IU63	H2AL3	FALSE	FALSE	FALSE	FALSE
A0A494C071	PWWP4	FALSE	FALSE	FALSE	FALSE
A0A494C1R9	TSPY9	FALSE	FALSE	FALSE	FALSE
A0A5F9ZHS7	NFILZ	FALSE	FALSE	FALSE	FALSE
A0A7P0TBJ1	HAPSTR2	FALSE	FALSE	FALSE	FALSE
A0A804HLA8	GNG5B	FALSE	FALSE	FALSE	FALSE
A0A8V8TMC4	CCNYL1B	FALSE	FALSE	FALSE	FALSE
A0PG75	PLSCR5	FALSE	FALSE	FALSE	FALSE
A0PK00	TMEM120B	FALSE	FALSE	FALSE	FALSE
A4D256	CDC14C	FALSE	FALSE	FALSE	FALSE
A4D2H0	CTAGE15	FALSE	FALSE	FALSE	FALSE
A5LHX3	PSMB11	FALSE	FALSE	FALSE	FALSE
