group	cancer_label	detected_n	cancer_detected_n	noncancer_detected_n	precision	odds_ratio	p_value	p_adjust_BH	p_adjust_BY	precision_percent	tool	norm_method	comparison_method
ALL_DGE	MERGED	14473	2980	11493	0.20590064257583085	1.0989173063239075	0.0727383299175234	0.13508546984682918	0.6130237992655257	20.59	DGE	NA	NA
ALL_DGE	NCG	14473	2644	11829	0.1826849996545291	1.056474433251829	0.21239610954472926	0.3562773450427717	1	18.27	DGE	NA	NA
ALL_DGE	OncoKB	14473	1007	13466	0.06957783458854419	1.0635608268822667	0.29029387847428106	0.43129376230464617	1	6.96	DGE	NA	NA
ALL_DGE	CGC	14473	477	13996	0.03295792164720514	0.9775601017397537	0.5983999445198108	0.797866592693081	1	3.3	DGE	NA	NA
ALL_TOX	MERGED	9587	2126	7461	0.22175863148012934	1.306108443372531	1.4438363512609145e-11	4.692468141597972e-11	2.1294626663819176e-10	22.18	TOX	NA	NA
ALL_TOX	NCG	9587	1902	7685	0.19839365807864817	1.3194787333029383	2.1171265350471588e-11	6.47591646014425e-11	2.938799351717965e-10	19.84	TOX	NA	NA
ALL_TOX	OncoKB	9587	763	8824	0.07958694064879525	1.5104085186455087	1.1738499881320554e-10	3.2126420727824675e-10	1.4579110924146588e-9	7.96	TOX	NA	NA
ALL_TOX	CGC	9587	374	9213	0.03901116094711589	1.6197578943855213	1.3143451733848197e-7	2.971563000696114e-7	1.348508349942536e-6	3.9	TOX	NA	NA
ALL_edgeR	MERGED	13415	2760	10655	0.20573984345881477	1.054171543210406	0.16025952242211422	0.2777831721983313	1	20.57	edgeR	NA	NA
ALL_edgeR	OncoKB	13415	936	12479	0.0697726425642937	1.057690916957921	0.26354860587401635	0.41998082571654877	1	6.98	edgeR	NA	NA
ALL_edgeR	NCG	13415	2450	10965	0.18263138278046961	1.0327055829005776	0.2853239257117536	0.43129376230464617	1	18.26	edgeR	NA	NA
ALL_edgeR	CGC	13415	443	12972	0.03302273574357063	0.997266758017087	0.5370935137935192	0.7349700715069211	1	3.3	edgeR	NA	NA
ALL_limma	OncoKB	12550	905	11645	0.07211155378486056	1.2366838069106363	0.0030747625325516733	0.006395506067707481	0.029023087622208756	7.21	limma	NA	NA
ALL_limma	CGC	12550	431	12119	0.034342629482071715	1.207144510219593	0.046723970042209025	0.09344794008441805	0.42407085920523097	3.43	limma	NA	NA
ALL_limma	MERGED	12550	2597	9953	0.20693227091633465	1.0758261175480774	0.06211156848982163	0.11962228005447127	0.5428511643698295	20.69	limma	NA	NA
ALL_limma	NCG	12550	2295	10255	0.18286852589641434	1.032160651174444	0.26652629324319443	0.41998082571654877	1	18.29	limma	NA	NA
ONLY_DGE	CGC	6667	163	6504	0.024448777561121945	0.6173762162025856	0.9999999201733027	0.9999999999890088	1	2.44	DGE_only	NA	NA
ONLY_DGE	OncoKB	6667	361	6306	0.05414729263536823	0.6620725371019303	0.9999999999230234	0.9999999999890088	1	5.41	DGE_only	NA	NA
ONLY_DGE	NCG	6667	1053	5614	0.15794210289485525	0.7578750416816388	0.9999999999840515	0.9999999999890088	1	15.79	DGE_only	NA	NA
ONLY_DGE	MERGED	6667	1194	5473	0.1790910454477276	0.7656332099177605	0.9999999999890088	0.9999999999890088	1	17.91	DGE_only	NA	NA
ONLY_TOX	CGC	1781	60	1721	0.033688938798427846	1.0229550062654047	0.456382945258779	0.6414030582015272	1	3.37	TOX	NA	NA
ONLY_TOX	OncoKB	1781	117	1664	0.06569343065693431	0.9402377134661962	0.7430782899528011	0.9424407579889185	1	6.57	TOX	NA	NA
ONLY_TOX	NCG	1781	311	1470	0.1746209994385177	0.9465444392459166	0.8061622176000892	0.9981056027429677	1	17.46	TOX	NA	NA
ONLY_TOX	MERGED	1781	340	1441	0.19090398652442447	0.909986578831116	0.9356071858672228	0.9999999999890088	1	19.09	TOX	NA	NA
TOX_AND_DGE	MERGED	7806	1786	6020	0.22879836023571612	1.337140414074726	5.082588421950481e-14	3.775637113448929e-13	1.713400716271569e-12	22.88	shared	NA	NA
TOX_AND_DGE	NCG	7806	1591	6215	0.2038175762234179	1.3294800417633685	1.5449788070780299e-12	6.1799152283121195e-12	2.8044726917664858e-11	20.38	shared	NA	NA
TOX_AND_DGE	OncoKB	7806	646	7160	0.0827568537022803	1.5043004139294964	3.0054257062504395e-11	8.682340929167936e-11	3.9400844731503417e-10	8.28	shared	NA	NA
TOX_AND_DGE	CGC	7806	314	7492	0.04022546758903408	1.5457786900802657	5.090549349590654e-7	1.1029523590779748e-6	5.005246281021284e-6	4.02	shared	NA	NA
full_family_mean_TOX	OncoKB	7831	689	7142	0.087983654705657	1.7714447034325096	3.9313822031671595e-20	2.044318745646923e-18	9.277208316980415e-18	8.8	TOX	full	family_mean
full_family_mean_TOX	CGC	7831	354	7477	0.04520495466734772	2.1317442720396564	2.770607990472969e-17	4.802387183486479e-16	2.1793444106927777e-15	4.52	TOX	full	family_mean
full_family_mean_TOX	MERGED	7831	1777	6054	0.22691865662112118	1.3087502390149466	2.809550015869886e-12	1.043547148751672e-11	4.7356628256600955e-11	22.69	TOX	full	family_mean
full_family_mean_TOX	NCG	7831	1579	6252	0.20163452943429958	1.2934185013636224	1.4911329747717247e-10	3.876945734406484e-10	1.7593750137205623e-9	20.16	TOX	full	family_mean
full_ortholog_mean_TOX	OncoKB	7724	667	7057	0.08635422061108235	1.6695715977871448	1.1981028568328757e-16	1.2460269711061907e-15	5.654525158634313e-15	8.64	TOX	full	ortholog_mean
full_ortholog_mean_TOX	CGC	7724	341	7383	0.04414810978767478	1.9637966090299377	2.7288836327969522e-14	2.365032481757358e-13	1.0732621347041954e-12	4.41	TOX	full	ortholog_mean
full_ortholog_mean_TOX	MERGED	7724	1766	5958	0.2286380113930606	1.3305578029895773	1.3027679691796343e-13	8.467991799667623e-13	3.842811896103726e-12	22.86	TOX	full	ortholog_mean
full_ortholog_mean_TOX	NCG	7724	1570	6154	0.20326255825996892	1.316083789697076	8.683928699758275e-12	3.010428615916202e-11	1.3661457369465013e-10	20.33	TOX	full	ortholog_mean
log_family_mean_TOX	NCG	3103	584	2519	0.1882049629390912	1.0540766039249265	0.15808810573399565	0.2777831721983313	1	18.82	TOX	log	family_mean
log_family_mean_TOX	MERGED	3103	628	2475	0.20238478891395423	0.9858250650425286	0.6215940388003629	0.8080722504404718	1	20.24	TOX	log	family_mean
log_family_mean_TOX	CGC	3103	60	3043	0.019336126329358685	0.523924578477351	0.9999998336390439	0.9999999999890088	1	1.93	TOX	log	family_mean
log_family_mean_TOX	OncoKB	3103	152	2951	0.04898485336770867	0.6454161100399111	0.9999998734123419	0.9999999999890088	1	4.9	TOX	log	family_mean
log_ortholog_mean_TOX	NCG	3115	573	2542	0.18394863563402888	1.0179542117927898	0.3734261609038115	0.5393933435277277	1	18.39	TOX	log	ortholog_mean
log_ortholog_mean_TOX	MERGED	3115	617	2498	0.19807383627608346	0.9536329953824542	0.8356436349791911	0.9999999999890088	1	19.81	TOX	log	ortholog_mean
log_ortholog_mean_TOX	CGC	3115	59	3056	0.018940609951845908	0.5114038969863297	0.9999999331208618	0.9999999999890088	1	1.89	TOX	log	ortholog_mean
log_ortholog_mean_TOX	OncoKB	3115	151	2964	0.048475120385232745	0.6370225376815298	0.9999999430784478	0.9999999999890088	1	4.85	TOX	log	ortholog_mean
std_log_family_mean_TOX	OncoKB	7563	657	6906	0.08687028956763189	1.6752690848978935	6.765357099725916e-17	8.79496422964369e-16	3.9911934218935e-15	8.69	TOX	std_log	family_mean
std_log_family_mean_TOX	CGC	7563	331	7232	0.043765701441227024	1.8850885577118173	6.313016939830148e-13	2.9843352806469794e-12	1.3543044667192997e-11	4.38	TOX	std_log	family_mean
std_log_family_mean_TOX	MERGED	7563	1725	5838	0.22808409361364537	1.314517205484873	1.2623225301043822e-12	5.470064297118989e-12	2.482339219346692e-11	22.81	TOX	std_log	family_mean
std_log_family_mean_TOX	NCG	7563	1529	6034	0.20216845167261668	1.2909453294070274	2.0104369456484642e-10	4.978224817796198e-10	2.259140301961194e-9	20.22	TOX	std_log	family_mean
std_log_ortholog_mean_TOX	OncoKB	7501	655	6846	0.0873216904412745	1.689859324453886	2.0328276167773393e-17	4.802387183486479e-16	2.1793444106927777e-15	8.73	TOX	std_log	ortholog_mean
std_log_ortholog_mean_TOX	CGC	7501	331	7170	0.04412744967337688	1.91527959610058	1.6843314027881218e-13	9.731692549442481e-13	4.416284850404488e-12	4.41	TOX	std_log	ortholog_mean
std_log_ortholog_mean_TOX	MERGED	7501	1716	5785	0.22876949740034663	1.3220342084681	4.4285799487136837e-13	2.3028615733311157e-12	1.0450487032148877e-11	22.88	TOX	std_log	ortholog_mean
std_log_ortholog_mean_TOX	NCG	7501	1517	5984	0.20223970137315025	1.2895522107526827	2.395315217420015e-10	5.66165415026549e-10	2.569283536755341e-9	20.22	TOX	std_log	ortholog_mean
