uniprot	gene_symbol	is_CGC	is_NCG	is_OncoKB	is_MERGED
A0A024R1R8	TMA7B	FALSE	FALSE	FALSE	FALSE
A0A024RBG1	NUDT4B	FALSE	FALSE	FALSE	FALSE
A0A075B6I3	IGLV11-55	FALSE	FALSE	FALSE	FALSE
A0A075B6N2	TRBV20-1	FALSE	FALSE	FALSE	FALSE
A0A075B6S9	IGKV1-37	FALSE	FALSE	FALSE	FALSE
A0A075B6T6	TRAV12-2	FALSE	FALSE	FALSE	FALSE
A0A075B6V5	TRAV36DV7	FALSE	FALSE	FALSE	FALSE
A0A075B734	AQP7B	FALSE	FALSE	FALSE	FALSE
A0A075B759	PPIAL4E	FALSE	FALSE	FALSE	FALSE
A0A075B767	PPIAL4H	FALSE	FALSE	FALSE	FALSE
A0A087WUL8	NBPF19	FALSE	FALSE	FALSE	FALSE
A0A087WV53	SPEGNB	FALSE	FALSE	FALSE	FALSE
A0A087WVF3	TBC1D3D	FALSE	FALSE	FALSE	FALSE
A0A087WXS9	TBC1D3I	FALSE	FALSE	FALSE	FALSE
A0A087X179	TBC1D3E	FALSE	FALSE	FALSE	FALSE
A0A087X1G2	TBC1D3K	FALSE	FALSE	FALSE	FALSE
A0A096LNW5	NOTCH2NLR	FALSE	FALSE	FALSE	FALSE
A0A0A0MRZ7	IGKV2D-26	FALSE	FALSE	FALSE	FALSE
A0A0A0MRZ9	IGLV5-52	FALSE	FALSE	FALSE	FALSE
A0A0A0MS00	IGLV3-32	FALSE	FALSE	FALSE	FALSE
A0A0A0MT76	IGLJ1	FALSE	FALSE	FALSE	FALSE
A0A0A6YYC5	TRAV14DV4	FALSE	FALSE	FALSE	FALSE
A0A0A6YYK1	TRAV8-1	FALSE	FALSE	FALSE	FALSE
A0A0A6YYK6	TRAV16	FALSE	FALSE	FALSE	FALSE
A0A0A6YYK7	TRAV19	FALSE	FALSE	FALSE	FALSE
A0A0B4J237	TRAV8-2	FALSE	FALSE	FALSE	FALSE
A0A0B4J244	TRAV3	FALSE	FALSE	FALSE	FALSE
A0A0B4J245	TRAV12-1	FALSE	FALSE	FALSE	FALSE
A0A0B4J262	TRAV8-6	FALSE	FALSE	FALSE	FALSE
A0A0B4J264	TRAV38-1	FALSE	FALSE	FALSE	FALSE
A0A0B4J271	TRAV12-3	FALSE	FALSE	FALSE	FALSE
A0A0C4DH26	IGKV6D-41	FALSE	FALSE	FALSE	FALSE
A0A0C4DH30	IGHV3-16	FALSE	FALSE	FALSE	FALSE
A0A0U1RRK4	LBHD2	FALSE	FALSE	FALSE	FALSE
A0A1B0GUS4	UBE2L5	FALSE	FALSE	FALSE	FALSE
A0A1B0GVZ6	MBD3L2B	FALSE	FALSE	FALSE	FALSE
A0A1W2PPD8	KDM4F	FALSE	FALSE	FALSE	FALSE
A0A1W2PPG7	GNG14	FALSE	FALSE	FALSE	FALSE
A0A1W2PQ27	SSU72L1	FALSE	FALSE	FALSE	FALSE
A0A1W2PQ64	SSU72L5	FALSE	FALSE	FALSE	FALSE
A0A1W2PQC6	SSU72L4	FALSE	FALSE	FALSE	FALSE
A0A1W2PQD8	SSU72L2	FALSE	FALSE	FALSE	FALSE
A0A1W2PQJ5	SSU72L3	FALSE	FALSE	FALSE	FALSE
A0A1W2PQL4	ZNF722	FALSE	FALSE	FALSE	FALSE
A0A1W2PR48	TLE7	FALSE	FALSE	FALSE	FALSE
A0A1W2PR75	SSU72L6	FALSE	FALSE	FALSE	FALSE
A0A1W2PR95	IGBP1C	FALSE	FALSE	FALSE	FALSE
A0A2R8Y619	H2BK1	FALSE	FALSE	FALSE	FALSE
A0A3B3IT33	TRIM51G	FALSE	FALSE	FALSE	FALSE
A0A3B3IU63	H2AL3	FALSE	FALSE	FALSE	FALSE
A0A494C071	PWWP4	FALSE	FALSE	FALSE	FALSE
A0A494C1R9	TSPY9	FALSE	FALSE	FALSE	FALSE
A0A5B7	TRBV29-1	FALSE	FALSE	FALSE	FALSE
A0A5F9ZHS7	NFILZ	FALSE	FALSE	FALSE	FALSE
A0A7P0TBJ1	HAPSTR2	FALSE	FALSE	FALSE	FALSE
A0A804HLA8	GNG5B	FALSE	FALSE	FALSE	FALSE
A0A8V8TMC4	CCNYL1B	FALSE	FALSE	FALSE	FALSE
A0JD32	TRAV38-2DV8	FALSE	FALSE	FALSE	FALSE
A0PG75	PLSCR5	FALSE	FALSE	FALSE	FALSE
A0PJX0	CIB4	FALSE	FALSE	FALSE	FALSE
A1A5C7	SLC22A23	FALSE	FALSE	FALSE	FALSE
A1L157	TSPAN11	FALSE	FALSE	FALSE	FALSE
A1L3X0	ELOVL7	FALSE	FALSE	FALSE	FALSE
A1L453	PRSS38	FALSE	TRUE	FALSE	TRUE
A1L4H1	SSC5D	FALSE	FALSE	FALSE	FALSE
A2A3K4	PTPDC1	FALSE	TRUE	FALSE	TRUE
A2RTX5	TARS3	FALSE	FALSE	FALSE	FALSE
A4D1E1	ZNF804B	FALSE	TRUE	FALSE	TRUE
A4D256	CDC14C	FALSE	FALSE	FALSE	FALSE
A5D8T8	CLEC18A	FALSE	FALSE	FALSE	FALSE
A5LHX3	PSMB11	FALSE	FALSE	FALSE	FALSE
A6NCE7	MAP1LC3B2	FALSE	FALSE	FALSE	FALSE
A6NCK2	TRIM43B	FALSE	FALSE	FALSE	FALSE
A6NCW0	USP17L3	FALSE	FALSE	FALSE	FALSE
A6NCW7	USP17L4	FALSE	FALSE	FALSE	FALSE
A6ND01	IZUMO1R	FALSE	FALSE	FALSE	FALSE
A6NDI0	TRIM49B	FALSE	FALSE	FALSE	FALSE
A6NDP7	MYADML2	FALSE	FALSE	FALSE	FALSE
A6NDS4	TBC1D3B	FALSE	TRUE	FALSE	TRUE
A6NDY0	PABPN1L	FALSE	FALSE	FALSE	FALSE
A6NDZ8	MBD3L4	FALSE	FALSE	FALSE	FALSE
A6NE02	BTBD17	FALSE	FALSE	FALSE	FALSE
A6NE82	MBD3L3	FALSE	FALSE	FALSE	FALSE
A6NEQ0	RBMY1E	FALSE	FALSE	FALSE	FALSE
A6NER0	TBC1D3F	FALSE	FALSE	FALSE	FALSE
A6NF34	ANTXRL	FALSE	FALSE	FALSE	FALSE
A6NFH5	FABP12	FALSE	FALSE	FALSE	FALSE
A6NFU8	PGPEP1L	FALSE	FALSE	FALSE	FALSE
A6NG13	MGAT4D	FALSE	FALSE	FALSE	FALSE
A6NGD5	ZSCAN5C	FALSE	FALSE	FALSE	FALSE
A6NGE4	DCAF8L1	FALSE	FALSE	FALSE	FALSE
A6NGJ6	TRIM64	FALSE	FALSE	FALSE	FALSE
A6NH57	ARL5C	FALSE	FALSE	FALSE	FALSE
A6NI03	TRIM64B	FALSE	FALSE	FALSE	FALSE
A6NI87	CBY3	FALSE	FALSE	FALSE	FALSE
A6NIR3	AGAP5	FALSE	FALSE	FALSE	FALSE
A6NJ08	MBD3L5	FALSE	FALSE	FALSE	FALSE
A6NJI9	LRRC72	FALSE	FALSE	FALSE	FALSE
A6NJL1	ZSCAN5B	FALSE	FALSE	FALSE	FALSE
A6NJW4	LRRC3C	FALSE	FALSE	FALSE	FALSE
A6NJY4	TMEM238L	FALSE	FALSE	FALSE	FALSE
A6NK02	TRIM75	FALSE	FALSE	FALSE	FALSE
A6NKD2	TSPY2	FALSE	FALSE	FALSE	FALSE
A6NKF2	ARID3C	FALSE	FALSE	TRUE	TRUE
A6NKP2	SDR42E2	FALSE	FALSE	FALSE	FALSE
A6NKT7	RGPD3	FALSE	TRUE	FALSE	TRUE
A6NLI5	TRIM64C	FALSE	FALSE	FALSE	FALSE
A6NLU5	VSTM2B	FALSE	FALSE	FALSE	FALSE
A6NMK7	CPSF4L	FALSE	FALSE	FALSE	FALSE
A6NMX2	EIF4E1B	FALSE	FALSE	FALSE	FALSE
A6NN14	ZNF729	FALSE	FALSE	FALSE	FALSE
A6NNM8	TTLL13	FALSE	FALSE	FALSE	FALSE
A6NNS2	DHRS7C	FALSE	FALSE	FALSE	FALSE
A6NP11	ZNF716	FALSE	FALSE	FALSE	FALSE
A8K7I4	CLCA1	FALSE	FALSE	FALSE	FALSE
A8MTJ3	GNAT3	FALSE	FALSE	FALSE	FALSE
A8MV81	HIGD1C	FALSE	FALSE	FALSE	FALSE
A8MYZ0	MINDY4B	FALSE	FALSE	FALSE	FALSE
B0FP48	UPK3BL1	FALSE	FALSE	FALSE	FALSE
B2RXF5	ZBTB42	FALSE	FALSE	FALSE	FALSE
B2RXH2	KDM4E	FALSE	FALSE	FALSE	FALSE
B2RXH4	BTBD18	FALSE	FALSE	FALSE	FALSE
B2RXH8	HNRNPCL2	FALSE	FALSE	FALSE	FALSE
B4DZS4	TCP11X1	FALSE	FALSE	FALSE	FALSE
B5MD39	GGTLC3	FALSE	FALSE	FALSE	FALSE
B7ZW38	HNRNPCL3	FALSE	FALSE	FALSE	FALSE
C9J1S8	TRIM49D1; TRIM49D2	FALSE	FALSE	FALSE	FALSE
C9JBD0	KRABD1	FALSE	FALSE	FALSE	FALSE
C9JJH3	USP17L10	FALSE	FALSE	FALSE	FALSE
C9JLW8	MCRIP1	FALSE	FALSE	FALSE	FALSE
D3W0D1	KLRF2	FALSE	FALSE	FALSE	FALSE
D6R9N7	USP17L18	FALSE	FALSE	FALSE	FALSE
E5RIL1	UPK3BL2	FALSE	FALSE	FALSE	FALSE
E9PQ53	NDUFC2-KCTD14	FALSE	FALSE	FALSE	FALSE
I1YAP6	TRIM77	FALSE	FALSE	FALSE	FALSE
O00168	FXYD1	FALSE	FALSE	FALSE	FALSE
O00192	ARVCF	FALSE	FALSE	FALSE	FALSE
O00264	PGRMC1	FALSE	FALSE	FALSE	FALSE
O00321	ETV2	FALSE	FALSE	FALSE	FALSE
O00391	QSOX1	FALSE	FALSE	FALSE	FALSE
O00479	HMGN4	FALSE	FALSE	FALSE	FALSE
O00483	COXFA4	FALSE	FALSE	FALSE	FALSE
O00507	USP9Y	FALSE	FALSE	FALSE	FALSE
O00574	CXCR6	FALSE	FALSE	FALSE	FALSE
O00628	PEX7	FALSE	FALSE	FALSE	FALSE
O00629	KPNA4	FALSE	FALSE	FALSE	FALSE
O00757	FBP2	FALSE	FALSE	FALSE	FALSE
O14503	BHLHE40	FALSE	FALSE	FALSE	FALSE
O14512	SOCS7	FALSE	FALSE	FALSE	FALSE
O14556	GAPDHS	FALSE	FALSE	FALSE	FALSE
O14602	EIF1AY	FALSE	FALSE	FALSE	FALSE
O14604	TMSB4Y	FALSE	FALSE	FALSE	FALSE
O14607	UTY	FALSE	FALSE	FALSE	FALSE
O14613	CDC42EP2	FALSE	FALSE	FALSE	FALSE
O14646	CHD1	FALSE	TRUE	FALSE	TRUE
O14647	CHD2	FALSE	TRUE	TRUE	TRUE
O14654	IRS4	TRUE	TRUE	TRUE	TRUE
O14656	TOR1A	FALSE	FALSE	FALSE	FALSE
O14678	ABCD4	FALSE	FALSE	FALSE	FALSE
O14686	KMT2D	TRUE	TRUE	TRUE	TRUE
O14709	ZNF197	FALSE	FALSE	FALSE	FALSE
O14727	APAF1	FALSE	FALSE	FALSE	FALSE
O14730	RIOK3	FALSE	FALSE	FALSE	FALSE
O14733	MAP2K7	FALSE	TRUE	FALSE	TRUE
O14787	TNPO2	FALSE	TRUE	FALSE	TRUE
O14827	RASGRF2	FALSE	TRUE	FALSE	TRUE
O14830	PPEF2	FALSE	FALSE	FALSE	FALSE
O14907	TAX1BP3	FALSE	FALSE	FALSE	FALSE
O14908	GIPC1	FALSE	FALSE	FALSE	FALSE
O14939	PLD2	FALSE	FALSE	FALSE	FALSE
O14974	PPP1R12A	FALSE	FALSE	FALSE	FALSE
O14979	HNRNPDL	FALSE	TRUE	FALSE	TRUE
O14990	PPP1R2C	FALSE	FALSE	FALSE	FALSE
O15014	ZNF609	FALSE	FALSE	FALSE	FALSE
O15037	KHNYN	FALSE	FALSE	FALSE	FALSE
O15055	PER2	FALSE	FALSE	FALSE	FALSE
O15084	ANKRD28	FALSE	FALSE	FALSE	FALSE
O15085	ARHGEF11	FALSE	TRUE	FALSE	TRUE
O15120	AGPAT2	FALSE	FALSE	FALSE	FALSE
O15123	ANGPT2	FALSE	FALSE	FALSE	FALSE
O15126	SCAMP1	FALSE	FALSE	FALSE	FALSE
O15173	PGRMC2	FALSE	FALSE	FALSE	FALSE
O15205	UBD	FALSE	FALSE	FALSE	FALSE
O15244	SLC22A2	FALSE	TRUE	FALSE	TRUE
O15245	SLC22A1	FALSE	TRUE	FALSE	TRUE
O15254	ACOX3	FALSE	FALSE	FALSE	FALSE
O15269	SPTLC1	FALSE	FALSE	FALSE	FALSE
O15342	ATP6V0E1	FALSE	TRUE	FALSE	TRUE
O15350	TP73	FALSE	TRUE	FALSE	TRUE
O15382	BCAT2	FALSE	FALSE	FALSE	FALSE
O15460	P4HA2	FALSE	FALSE	FALSE	FALSE
O15482	TEX28; TEX28P1; TEX28P2	FALSE	FALSE	FALSE	FALSE
O15523	DDX3Y	FALSE	FALSE	FALSE	FALSE
