group	cancer_label	detected_n	cancer_detected_n	noncancer_detected_n	precision	odds_ratio	p_value	p_adjust_BH	p_adjust_BY	precision_percent	tool	norm_method	comparison_method
ALL_DGE	OncoKB	15053	1044	14009	0.06935494585796852	1.1718713314362665	0.08594147077454045	0.15960558858128943	0.7242971757588262	6.94	DGE	NA	NA
ALL_DGE	MERGED	15053	3078	11975	0.20447751278814855	1.0690888178911961	0.17107689123234174	0.26164701012005204	1	20.45	DGE	NA	NA
ALL_DGE	NCG	15053	2730	12323	0.18135919750215904	1.018095601226948	0.4149512358278954	0.5831747098121773	1	18.14	DGE	NA	NA
ALL_DGE	CGC	15053	497	14556	0.03301667441705972	1.0051989551943075	0.5239375156480091	0.7148159366530482	1	3.3	DGE	NA	NA
ALL_TOX	NCG	9382	1853	7529	0.19750586228949052	1.2945973105798503	1.8797860052838545e-10	4.887443613738022e-10	2.2179433925698706e-9	19.75	TOX	NA	NA
ALL_TOX	MERGED	9382	2069	7313	0.2205286719249627	1.2776777834178068	2.4393006143593944e-10	6.04017294984231e-10	2.741057031619826e-9	22.05	TOX	NA	NA
ALL_TOX	OncoKB	9382	734	8648	0.07823491792794714	1.437551508380989	6.028682398956467e-9	1.4249612942988015e-8	6.466536981570682e-8	7.82	TOX	NA	NA
ALL_TOX	CGC	9382	362	9020	0.03858452355574504	1.5202426515297573	2.0978610400997517e-6	4.742990177616829e-6	2.152389788375147e-5	3.86	TOX	NA	NA
ALL_edgeR	OncoKB	14176	995	13181	0.0701890519187359	1.2180286988235338	0.01741683468977927	0.03483366937955854	0.15807672260850059	7.02	edgeR	NA	NA
ALL_edgeR	MERGED	14176	2916	11260	0.20569977426636568	1.100472004819855	0.04546766506375336	0.08756735493759907	0.39738450535314784	20.57	edgeR	NA	NA
ALL_edgeR	NCG	14176	2585	11591	0.1823504514672686	1.0599960038423761	0.16498010257236206	0.25996864647766144	1	18.24	edgeR	NA	NA
ALL_edgeR	CGC	14176	473	13703	0.03336625282167043	1.0845403587541167	0.28502371427431267	0.41170092061845165	1	3.34	edgeR	NA	NA
ALL_limma	OncoKB	13788	971	12817	0.07042355671598491	1.211662515295197	0.01398967000618452	0.029098513612863804	0.13205033367514393	7.04	limma	NA	NA
ALL_limma	MERGED	13788	2830	10958	0.20525094284885406	1.0672746096349184	0.11088262486344387	0.19219654976330272	0.872196389998277	20.53	limma	NA	NA
ALL_limma	CGC	13788	465	13323	0.03372497824194952	1.1513320740535196	0.1346856226210601	0.22592427020306857	1	3.37	limma	NA	NA
ALL_limma	NCG	13788	2510	11278	0.1820423556715985	1.0381775095233534	0.2547595166793192	0.3784998533521314	1	18.2	limma	NA	NA
ONLY_DGE	CGC	7193	185	7008	0.025719449464757405	0.6577897278396584	0.9999986441842577	0.999999999855699	1	2.57	DGE_only	NA	NA
ONLY_DGE	OncoKB	7193	401	6792	0.05574864451550118	0.6956272482550752	0.9999999958495078	0.999999999855699	1	5.57	DGE_only	NA	NA
ONLY_DGE	MERGED	7193	1304	5889	0.18128736271374948	0.7826699446279682	0.9999999998102234	0.999999999855699	1	18.13	DGE_only	NA	NA
ONLY_DGE	NCG	7193	1149	6044	0.1597386347838176	0.7724409681896373	0.999999999855699	0.999999999855699	1	15.97	DGE_only	NA	NA
ONLY_TOX	CGC	1522	50	1472	0.0328515111695138	0.9948279341443388	0.5361119524897862	0.7148159366530482	1	3.29	TOX	NA	NA
ONLY_TOX	NCG	1522	272	1250	0.17871222076215507	0.98222602945623	0.6121321685868724	0.7763627504028625	1	17.87	TOX	NA	NA
ONLY_TOX	MERGED	1522	295	1227	0.1938239159001314	0.9353759793059341	0.8455316217152491	0.999999999855699	1	19.38	TOX	NA	NA
ONLY_TOX	OncoKB	1522	91	1431	0.059789750328515114	0.8533360047082824	0.9301275606043513	0.999999999855699	1	5.98	TOX	NA	NA
