uniprot	gene_symbol	is_CGC	is_NCG	is_OncoKB	is_MERGED
A0A024RBG1	NUDT4B	FALSE	FALSE	FALSE	FALSE
A0A075B6I3	IGLV11-55	FALSE	FALSE	FALSE	FALSE
A0A075B6S5	IGKV1-27	FALSE	FALSE	FALSE	FALSE
A0A075B734	AQP7B	FALSE	FALSE	FALSE	FALSE
A0A075B759	PPIAL4E	FALSE	FALSE	FALSE	FALSE
A0A075B767	PPIAL4H	FALSE	FALSE	FALSE	FALSE
A0A087WUL8	NBPF19	FALSE	FALSE	FALSE	FALSE
A0A087WV53	SPEGNB	FALSE	FALSE	FALSE	FALSE
A0A087WV62	TRBV16	FALSE	FALSE	FALSE	FALSE
A0A087WVF3	TBC1D3D	FALSE	FALSE	FALSE	FALSE
A0A087WW87	IGKV2-40	FALSE	FALSE	FALSE	FALSE
A0A087WXS9	TBC1D3I	FALSE	FALSE	FALSE	FALSE
A0A087X0K7	TRBV17	FALSE	FALSE	FALSE	FALSE
A0A087X179	TBC1D3E	FALSE	FALSE	FALSE	FALSE
A0A087X1G2	TBC1D3K	FALSE	FALSE	FALSE	FALSE
A0A096LNW5	NOTCH2NLR	FALSE	FALSE	FALSE	FALSE
A0A0A0MRZ7	IGKV2D-26	FALSE	FALSE	FALSE	FALSE
A0A0A0MRZ9	IGLV5-52	FALSE	FALSE	FALSE	FALSE
A0A0A0MS02	TRGV1	FALSE	FALSE	FALSE	FALSE
A0A0A0MS06	TRBV23-1	FALSE	FALSE	FALSE	FALSE
A0A0A0MT76	IGLJ1	FALSE	FALSE	FALSE	FALSE
A0A0A0MT78	TRBJ2-7	FALSE	FALSE	FALSE	FALSE
A0A0A6YYK4	TRBV7-1	FALSE	FALSE	FALSE	FALSE
A0A0B4J1U3	IGLV1-36	FALSE	FALSE	FALSE	FALSE
A0A0B4J1Z2	IGKV1D-43	FALSE	FALSE	FALSE	FALSE
A0A0B4J248	TRAV1-1	FALSE	FALSE	FALSE	FALSE
A0A0B4J264	TRAV38-1	FALSE	FALSE	FALSE	FALSE
A0A0B4J265	TRAV26-2	FALSE	FALSE	FALSE	FALSE
A0A0B4J273	TRAV34	FALSE	FALSE	FALSE	FALSE
