uniprot	gene_symbol	is_CGC	is_NCG	is_OncoKB	is_MERGED
A0A024R1R8	TMA7B	FALSE	FALSE	FALSE	FALSE
A0A075B6I3	IGLV11-55	FALSE	FALSE	FALSE	FALSE
A0A075B6S9	IGKV1-37	FALSE	FALSE	FALSE	FALSE
A0A075B734	AQP7B	FALSE	FALSE	FALSE	FALSE
A0A075B759	PPIAL4E	FALSE	FALSE	FALSE	FALSE
A0A075B767	PPIAL4H	FALSE	FALSE	FALSE	FALSE
A0A096LNW5	NOTCH2NLR	FALSE	FALSE	FALSE	FALSE
A0A0A0MRZ9	IGLV5-52	FALSE	FALSE	FALSE	FALSE
A0A0A0MS00	IGLV3-32	FALSE	FALSE	FALSE	FALSE
A0A0A0MT76	IGLJ1	FALSE	FALSE	FALSE	FALSE
A0A0C4DH26	IGKV6D-41	FALSE	FALSE	FALSE	FALSE
A0A0C4DH30	IGHV3-16	FALSE	FALSE	FALSE	FALSE
A0A0K2S4Q6	CD300H	FALSE	FALSE	FALSE	FALSE
A0A1B0GUJ8	PNMA8C	FALSE	FALSE	FALSE	FALSE
A0A1B0GUS4	UBE2L5	FALSE	FALSE	FALSE	FALSE
A0A1B0GVZ6	MBD3L2B	FALSE	FALSE	FALSE	FALSE
A0A1W2PPD8	KDM4F	FALSE	FALSE	FALSE	FALSE
A0A1W2PPG7	GNG14	FALSE	FALSE	FALSE	FALSE
A0A1W2PQ27	SSU72L1	FALSE	FALSE	FALSE	FALSE
A0A1W2PQ64	SSU72L5	FALSE	FALSE	FALSE	FALSE
A0A1W2PQC6	SSU72L4	FALSE	FALSE	FALSE	FALSE
A0A1W2PQD8	SSU72L2	FALSE	FALSE	FALSE	FALSE
A0A1W2PQJ5	SSU72L3	FALSE	FALSE	FALSE	FALSE
A0A1W2PR48	TLE7	FALSE	FALSE	FALSE	FALSE
A0A1W2PR75	SSU72L6	FALSE	FALSE	FALSE	FALSE
A0A1W2PR95	IGBP1C	FALSE	FALSE	FALSE	FALSE
A0A3B3IT33	TRIM51G	FALSE	FALSE	FALSE	FALSE
A0A3B3IU63	H2AL3	FALSE	FALSE	FALSE	FALSE
A0A494C1R9	TSPY9	FALSE	FALSE	FALSE	FALSE
A0A5F9ZHS7	NFILZ	FALSE	FALSE	FALSE	FALSE
A0A8V8TMC4	CCNYL1B	FALSE	FALSE	FALSE	FALSE
A0FGR9	ESYT3	FALSE	FALSE	FALSE	FALSE
A1L453	PRSS38	FALSE	TRUE	FALSE	TRUE
A1L4K1	FSD2	FALSE	FALSE	FALSE	FALSE
A2A3K4	PTPDC1	FALSE	TRUE	FALSE	TRUE
A2AJT9	BCLAF3	FALSE	FALSE	FALSE	FALSE
A4D1T9	PRSS37	FALSE	FALSE	FALSE	FALSE
A4D256	CDC14C	FALSE	FALSE	FALSE	FALSE
A4D2H0	CTAGE15	FALSE	FALSE	FALSE	FALSE
A4D2P6	GRID2IP	FALSE	FALSE	FALSE	FALSE
A5LHX3	PSMB11	FALSE	FALSE	FALSE	FALSE
A6NCK2	TRIM43B	FALSE	FALSE	FALSE	FALSE
A6NCW0	USP17L3	FALSE	FALSE	FALSE	FALSE
A6NCW7	USP17L4	FALSE	FALSE	FALSE	FALSE
A6ND01	IZUMO1R	FALSE	FALSE	FALSE	FALSE
A6NDI0	TRIM49B	FALSE	FALSE	FALSE	FALSE
A6NDY0	PABPN1L	FALSE	FALSE	FALSE	FALSE
A6NDZ8	MBD3L4	FALSE	FALSE	FALSE	FALSE
A6NE02	BTBD17	FALSE	FALSE	FALSE	FALSE
A6NE82	MBD3L3	FALSE	FALSE	FALSE	FALSE
A6NEQ0	RBMY1E	FALSE	FALSE	FALSE	FALSE
A6NF34	ANTXRL	FALSE	FALSE	FALSE	FALSE
A6NFD8	HELT	FALSE	FALSE	FALSE	FALSE
A6NFH5	FABP12	FALSE	FALSE	FALSE	FALSE
A6NG13	MGAT4D	FALSE	FALSE	FALSE	FALSE
A6NGE4	DCAF8L1	FALSE	FALSE	FALSE	FALSE
A6NGJ6	TRIM64	FALSE	FALSE	FALSE	FALSE
A6NGN9	IGLON5	FALSE	FALSE	FALSE	FALSE
A6NH57	ARL5C	FALSE	FALSE	FALSE	FALSE
A6NI03	TRIM64B	FALSE	FALSE	FALSE	FALSE
A6NJ08	MBD3L5	FALSE	FALSE	FALSE	FALSE
A6NJI9	LRRC72	FALSE	FALSE	FALSE	FALSE
A6NJW4	LRRC3C	FALSE	FALSE	FALSE	FALSE
A6NK02	TRIM75	FALSE	FALSE	FALSE	FALSE
A6NKD2	TSPY2	FALSE	FALSE	FALSE	FALSE
A6NKP2	SDR42E2	FALSE	FALSE	FALSE	FALSE
A6NLI5	TRIM64C	FALSE	FALSE	FALSE	FALSE
A6NMX2	EIF4E1B	FALSE	FALSE	FALSE	FALSE
A6NNB3	IFITM5	FALSE	FALSE	FALSE	FALSE
A6NNZ2	TUBB8B	FALSE	FALSE	FALSE	FALSE
