uniprot	gene_symbol
A0A024R1R8	TMA7B
A0A075B6H7	IGKV3-7
A0A075B6H8	IGKV1D-42
A0A075B6H9	IGLV4-69
A0A075B6I0	IGLV8-61
A0A075B6I1	IGLV4-60
A0A075B6I3	IGLV11-55
A0A075B6I4	IGLV10-54
A0A075B6I6	IGLV1-50
A0A075B6I7	IGLV5-48
A0A075B6I9	IGLV7-46
A0A075B6J1	IGLV5-37
A0A075B6J2	IGLV2-33
A0A075B6J6	IGLV3-22
A0A075B6J9	IGLV2-18
A0A075B6K0	IGLV3-16
A0A075B6K2	IGLV3-12
A0A075B6K4	IGLV3-10
A0A075B6K5	IGLV3-9
A0A075B6K6	IGLV4-3
A0A075B6L6	TRBV7-3
A0A075B6N1	TRBV19
A0A075B6N2	TRBV20-1
A0A075B6N3	TRBV24-1
A0A075B6P5	IGKV2-28
A0A075B6Q5	IGHV3-64
A0A075B6R0	TRGV2
A0A075B6R2	IGHV4-4
A0A075B6R9	IGKV2D-24
A0A075B6S2	IGKV2D-29
A0A075B6S4	IGKV1D-17
A0A075B6S5	IGKV1-27
A0A075B6S6	IGKV2D-30
A0A075B6S9	IGKV1-37
A0A075B6T6	TRAV12-2
A0A075B700	TRAJ31
A0A075B734	AQP7B
A0A075B759	PPIAL4E
A0A075B767	PPIAL4H
A0A087WSX0	IGLV5-45
A0A087WSY4	IGHV4-30-2
A0A087WSY6	IGKV3D-15
A0A087WSZ0	IGKV1D-8
A0A087WUV0	ZNF892
A0A087WW87	IGKV2-40
A0A096LNW5	NOTCH2NLR
A0A096LP49	CCDC187
A0A096LP55	UQCRHL
A0A0A0MRZ7	IGKV2D-26
A0A0A0MRZ8	IGKV3D-11
A0A0A0MRZ9	IGLV5-52
A0A0A0MS00	IGLV3-32
A0A0A0MS01	TRGV10
A0A0A0MS14	IGHV1-45
A0A0A0MS15	IGHV3-49
A0A0A0MT36	IGKV6D-21
A0A0A0MT76	IGLJ1
A0A0B4J1U3	IGLV1-36
A0A0B4J1U6	TRBV9
A0A0B4J1U7	IGHV6-1
A0A0B4J1V0	IGHV3-15
A0A0B4J1V1	IGHV3-21
A0A0B4J1V2	IGHV2-26
A0A0B4J1V6	IGHV3-73
A0A0B4J1V7	IGHV7-81
A0A0B4J1X5	IGHV3-74
A0A0B4J1X8	IGHV3-43
A0A0B4J1Y8	IGLV9-49
A0A0B4J1Y9	IGHV3-72
A0A0B4J1Z2	IGKV1D-43
A0A0B4J245	TRAV12-1
A0A0B4J271	TRAV12-3
A0A0B4J2D9	IGKV1D-13
A0A0B4J2E0	TRBV12-4
A0A0B4J2H0	IGHV1-69D
A0A0C4DH24	IGKV6-21
A0A0C4DH25	IGKV3D-20
A0A0C4DH26	IGKV6D-41
