uniprot	gene_symbol	is_CGC	is_NCG	is_OncoKB	is_MERGED
A0A024R1R8	TMA7B	FALSE	FALSE	FALSE	FALSE
A0A024RBG1	NUDT4B	FALSE	FALSE	FALSE	FALSE
A0A075B6H8	IGKV1D-42	FALSE	FALSE	FALSE	FALSE
A0A075B6I3	IGLV11-55	FALSE	FALSE	FALSE	FALSE
A0A075B6I4	IGLV10-54	FALSE	FALSE	FALSE	FALSE
A0A075B6I7	IGLV5-48	FALSE	FALSE	FALSE	FALSE
A0A075B6I9	IGLV7-46	FALSE	FALSE	FALSE	FALSE
A0A075B6J1	IGLV5-37	FALSE	FALSE	FALSE	FALSE
A0A075B6J2	IGLV2-33	FALSE	FALSE	FALSE	FALSE
A0A075B6J6	IGLV3-22	FALSE	FALSE	FALSE	FALSE
A0A075B6J9	IGLV2-18	FALSE	FALSE	FALSE	FALSE
A0A075B6K0	IGLV3-16	FALSE	FALSE	FALSE	FALSE
A0A075B6K2	IGLV3-12	FALSE	FALSE	FALSE	FALSE
A0A075B6K6	IGLV4-3	FALSE	FALSE	FALSE	FALSE
A0A075B6L6	TRBV7-3	FALSE	FALSE	FALSE	FALSE
A0A075B6P5	IGKV2-28	FALSE	FALSE	FALSE	FALSE
A0A075B6R9	IGKV2D-24	FALSE	FALSE	FALSE	FALSE
A0A075B6S6	IGKV2D-30	FALSE	FALSE	FALSE	FALSE
A0A075B6S9	IGKV1-37	FALSE	FALSE	FALSE	FALSE
A0A075B6V5	TRAV36DV7	FALSE	FALSE	FALSE	FALSE
A0A075B759	PPIAL4E	FALSE	FALSE	FALSE	FALSE
A0A075B767	PPIAL4H	FALSE	FALSE	FALSE	FALSE
A0A087WSY6	IGKV3D-15	FALSE	FALSE	FALSE	FALSE
A0A087WUL8	NBPF19	FALSE	FALSE	FALSE	FALSE
A0A087WV53	SPEGNB	FALSE	FALSE	FALSE	FALSE
A0A087WV62	TRBV16	FALSE	FALSE	FALSE	FALSE
A0A087WVF3	TBC1D3D	FALSE	FALSE	FALSE	FALSE
A0A087WW87	IGKV2-40	FALSE	FALSE	FALSE	FALSE
A0A087WXS9	TBC1D3I	FALSE	FALSE	FALSE	FALSE
A0A087X0K7	TRBV17	FALSE	FALSE	FALSE	FALSE
A0A087X179	TBC1D3E	FALSE	FALSE	FALSE	FALSE
A0A087X1G2	TBC1D3K	FALSE	FALSE	FALSE	FALSE
A0A096LNP1	DEFB131B	FALSE	FALSE	FALSE	FALSE
A0A096LNW5	NOTCH2NLR	FALSE	FALSE	FALSE	FALSE
A0A0A0MRZ7	IGKV2D-26	FALSE	FALSE	FALSE	FALSE
A0A0A0MRZ9	IGLV5-52	FALSE	FALSE	FALSE	FALSE
A0A0A0MS00	IGLV3-32	FALSE	FALSE	FALSE	FALSE
A0A0A0MS05	TRBV5-7	FALSE	FALSE	FALSE	FALSE
A0A0A0MS06	TRBV23-1	FALSE	FALSE	FALSE	FALSE
A0A0A0MS14	IGHV1-45	FALSE	FALSE	FALSE	FALSE
A0A0A0MT76	IGLJ1	FALSE	FALSE	FALSE	FALSE
A0A0A6YYK4	TRBV7-1	FALSE	FALSE	FALSE	FALSE
A0A0B4J1U3	IGLV1-36	FALSE	FALSE	FALSE	FALSE
A0A0B4J1U7	IGHV6-1	FALSE	FALSE	FALSE	FALSE
A0A0B4J1V7	IGHV7-81	FALSE	FALSE	FALSE	FALSE
A0A0B4J1Z2	IGKV1D-43	FALSE	FALSE	FALSE	FALSE
A0A0C4DH24	IGKV6-21	FALSE	FALSE	FALSE	FALSE
A0A0C4DH26	IGKV6D-41	FALSE	FALSE	FALSE	FALSE
A0A0C4DH30	IGHV3-16	FALSE	FALSE	FALSE	FALSE
A0A0C4DH35	IGHV3-35	FALSE	FALSE	FALSE	FALSE
A0A0C4DH36	IGHV3-38	FALSE	FALSE	FALSE	FALSE
A0A0C4DH39	IGHV1-58	FALSE	FALSE	FALSE	FALSE
A0A0C4DH43	IGHV2-70D	FALSE	FALSE	FALSE	FALSE
A0A0C4DH55	IGKV3D-7	FALSE	FALSE	FALSE	FALSE
A0A0G2JMI3	IGHV1-69-2	FALSE	FALSE	FALSE	FALSE
A0A0K0K1C0	TRBV11-1	FALSE	FALSE	FALSE	FALSE
A0A0K0K1E9	TRBV7-7	FALSE	FALSE	FALSE	FALSE
A0A0K2S4Q6	CD300H	FALSE	FALSE	FALSE	FALSE
A0A0U1RRK4	LBHD2	FALSE	FALSE	FALSE	FALSE
A0A1B0GVZ6	MBD3L2B	FALSE	FALSE	FALSE	FALSE
A0A1B0GX31	TRBV7-6	FALSE	FALSE	FALSE	FALSE
A0A1B0GX78	TRBV12-5	FALSE	FALSE	FALSE	FALSE
A0A1B0GX95	TRBV7-4	FALSE	FALSE	FALSE	FALSE
A0A1W2PPD8	KDM4F	FALSE	FALSE	FALSE	FALSE
A0A1W2PPF3	DUXB	FALSE	FALSE	FALSE	FALSE
A0A1W2PPG7	GNG14	FALSE	FALSE	FALSE	FALSE
A0A1W2PPK0	CPHXL2	FALSE	FALSE	FALSE	FALSE
A0A1W2PQ27	SSU72L1	FALSE	FALSE	FALSE	FALSE
A0A1W2PQ64	SSU72L5	FALSE	FALSE	FALSE	FALSE
A0A1W2PQD8	SSU72L2	FALSE	FALSE	FALSE	FALSE
A0A1W2PQJ5	SSU72L3	FALSE	FALSE	FALSE	FALSE
A0A1W2PQL4	ZNF722	FALSE	FALSE	FALSE	FALSE
A0A1W2PR19	GSTT4	FALSE	FALSE	FALSE	FALSE
A0A1W2PR48	TLE7	FALSE	FALSE	FALSE	FALSE
A0A1W2PR75	SSU72L6	FALSE	FALSE	FALSE	FALSE
A0A1W2PR95	IGBP1C	FALSE	FALSE	FALSE	FALSE
A0A2R8Y619	H2BK1	FALSE	FALSE	FALSE	FALSE
A0A3B3IT33	TRIM51G	FALSE	FALSE	FALSE	FALSE
A0A3B3IU46	RAMACL	FALSE	FALSE	FALSE	FALSE
A0A3B3IU63	H2AL3	FALSE	FALSE	FALSE	FALSE
A0A494C071	PWWP4	FALSE	FALSE	FALSE	FALSE
A0A584	TRBV11-2	FALSE	FALSE	FALSE	FALSE
A0A5A6	TRBV11-3	FALSE	FALSE	FALSE	FALSE
A0A5B0	TRBV14	FALSE	FALSE	FALSE	FALSE
A0A5F9ZHS7	NFILZ	FALSE	FALSE	FALSE	FALSE
A0A7P0TBJ1	HAPSTR2	FALSE	FALSE	FALSE	FALSE
A0A804HLA8	GNG5B	FALSE	FALSE	FALSE	FALSE
A0A8V8TMC4	CCNYL1B	FALSE	FALSE	FALSE	FALSE
A0AVT1	UBA6	FALSE	TRUE	FALSE	TRUE
A0FGR9	ESYT3	FALSE	FALSE	FALSE	FALSE
A0PG75	PLSCR5	FALSE	FALSE	FALSE	FALSE
A0PJK1	SLC5A10	FALSE	FALSE	FALSE	FALSE
A1A4Y4	IRGM	FALSE	FALSE	FALSE	FALSE
A1A5B4	ANO9	FALSE	FALSE	FALSE	FALSE
A1KZ92	PXDNL	FALSE	TRUE	FALSE	TRUE
A2AJT9	BCLAF3	FALSE	FALSE	FALSE	FALSE
A2RRD8	ZNF320	FALSE	FALSE	FALSE	FALSE
A4D1S5	RAB19	FALSE	FALSE	FALSE	FALSE
A4D256	CDC14C	FALSE	FALSE	FALSE	FALSE
A4D2H0	CTAGE15	FALSE	FALSE	FALSE	FALSE
A5D6W6	FITM1	FALSE	FALSE	FALSE	FALSE
A5D8T8	CLEC18A	FALSE	FALSE	FALSE	FALSE
A5LHX3	PSMB11	FALSE	FALSE	FALSE	FALSE
A5YM69	ARHGEF35	FALSE	FALSE	FALSE	FALSE
A6NC98	CCDC88B	FALSE	FALSE	FALSE	FALSE
A6NCE7	MAP1LC3B2	FALSE	FALSE	FALSE	FALSE
A6NCK2	TRIM43B	FALSE	FALSE	FALSE	FALSE
A6NCM1	DRC11L	FALSE	FALSE	FALSE	FALSE
A6NCW0	USP17L3	FALSE	FALSE	FALSE	FALSE
A6NCW7	USP17L4	FALSE	FALSE	FALSE	FALSE
A6NDA9	LRIT2	FALSE	FALSE	FALSE	FALSE
A6NDI0	TRIM49B	FALSE	FALSE	FALSE	FALSE
A6NDP7	MYADML2	FALSE	FALSE	FALSE	FALSE
A6NDS4	TBC1D3B	FALSE	TRUE	FALSE	TRUE
A6NDY0	PABPN1L	FALSE	FALSE	FALSE	FALSE
A6NE82	MBD3L3	FALSE	FALSE	FALSE	FALSE
A6NEQ0	RBMY1E	FALSE	FALSE	FALSE	FALSE
A6NER0	TBC1D3F	FALSE	FALSE	FALSE	FALSE
A6NFD8	HELT	FALSE	FALSE	FALSE	FALSE
A6NFH5	FABP12	FALSE	FALSE	FALSE	FALSE
A6NFU8	PGPEP1L	FALSE	FALSE	FALSE	FALSE
A6NG13	MGAT4D	FALSE	FALSE	FALSE	FALSE
A6NGD5	ZSCAN5C	FALSE	FALSE	FALSE	FALSE
A6NGE4	DCAF8L1	FALSE	FALSE	FALSE	FALSE
A6NGJ6	TRIM64	FALSE	FALSE	FALSE	FALSE
A6NGN9	IGLON5	FALSE	FALSE	FALSE	FALSE
A6NH57	ARL5C	FALSE	FALSE	FALSE	FALSE
A6NHL2	TUBAL3	FALSE	FALSE	FALSE	FALSE
A6NI03	TRIM64B	FALSE	FALSE	FALSE	FALSE
A6NI87	CBY3	FALSE	FALSE	FALSE	FALSE
A6NIR3	AGAP5	FALSE	FALSE	FALSE	FALSE
A6NJ08	MBD3L5	FALSE	FALSE	FALSE	FALSE
A6NJI9	LRRC72	FALSE	FALSE	FALSE	FALSE
A6NJL1	ZSCAN5B	FALSE	FALSE	FALSE	FALSE
A6NJW4	LRRC3C	FALSE	FALSE	FALSE	FALSE
A6NJY4	TMEM238L	FALSE	FALSE	FALSE	FALSE
A6NK02	TRIM75	FALSE	FALSE	FALSE	FALSE
A6NKD2	TSPY2	FALSE	FALSE	FALSE	FALSE
A6NKF2	ARID3C	FALSE	FALSE	TRUE	TRUE
A6NKT7	RGPD3	FALSE	TRUE	FALSE	TRUE
A6NLI5	TRIM64C	FALSE	FALSE	FALSE	FALSE
A6NM11	LRRC37A2	FALSE	FALSE	FALSE	FALSE
A6NMK7	CPSF4L	FALSE	FALSE	FALSE	FALSE
A6NMX2	EIF4E1B	FALSE	FALSE	FALSE	FALSE
A6NN14	ZNF729	FALSE	FALSE	FALSE	FALSE
A6NNB3	IFITM5	FALSE	FALSE	FALSE	FALSE
A6NNF4	ZNF726	FALSE	FALSE	FALSE	FALSE
A6NNM3	RIMBP3B	FALSE	FALSE	FALSE	FALSE
A6NNN8	SLC38A8	FALSE	TRUE	FALSE	TRUE
A6NNS2	DHRS7C	FALSE	FALSE	FALSE	FALSE
A6NP11	ZNF716	FALSE	FALSE	FALSE	FALSE
A6PVI3	NCBP2L	FALSE	FALSE	FALSE	FALSE
A7KAX9	ARHGAP32	FALSE	TRUE	FALSE	TRUE
A8K7I4	CLCA1	FALSE	FALSE	FALSE	FALSE
A8MTJ3	GNAT3	FALSE	FALSE	FALSE	FALSE
A8MUK1	USP17L5	FALSE	FALSE	FALSE	FALSE
A8MV81	HIGD1C	FALSE	FALSE	FALSE	FALSE
A8MVW5	HEPACAM2	FALSE	TRUE	FALSE	TRUE
A8MW95	BECN2	FALSE	FALSE	FALSE	FALSE
A8MX76	CAPN14	FALSE	FALSE	FALSE	FALSE
A8MYZ0	MINDY4B	FALSE	FALSE	FALSE	FALSE
A8MYZ6	FOXO6	FALSE	FALSE	FALSE	FALSE
A8MZ36	EVPLL	FALSE	FALSE	FALSE	FALSE
A9QM74	KPNA7	FALSE	FALSE	FALSE	FALSE
B2RPK0	HMGB1P1	FALSE	FALSE	FALSE	FALSE
B2RXH2	KDM4E	FALSE	FALSE	FALSE	FALSE
B2RXH8	HNRNPCL2	FALSE	FALSE	FALSE	FALSE
B4DU55	ZNF879	FALSE	FALSE	FALSE	FALSE
B4DZS4	TCP11X1	FALSE	FALSE	FALSE	FALSE
B5MD39	GGTLC3	FALSE	FALSE	FALSE	FALSE
B7U540	KCNJ18	FALSE	FALSE	FALSE	FALSE
B7Z1M9	C2CD4D	FALSE	FALSE	FALSE	FALSE
B7ZW38	HNRNPCL3	FALSE	FALSE	FALSE	FALSE
C9J1S8	TRIM49D1; TRIM49D2	FALSE	FALSE	FALSE	FALSE
C9JJH3	USP17L10	FALSE	FALSE	FALSE	FALSE
D6RBM5	USP17L23	FALSE	FALSE	FALSE	FALSE
E9PQ53	NDUFC2-KCTD14	FALSE	FALSE	FALSE	FALSE
I1YAP6	TRIM77	FALSE	FALSE	FALSE	FALSE
O00110	OVOL3	FALSE	FALSE	FALSE	FALSE
O00139	KIF2A	FALSE	FALSE	FALSE	FALSE
O00160	MYO1F	FALSE	FALSE	FALSE	FALSE
O00161	SNAP23	FALSE	FALSE	FALSE	FALSE
O00168	FXYD1	FALSE	FALSE	FALSE	FALSE
O00264	PGRMC1	FALSE	FALSE	FALSE	FALSE
O00268	TAF4	FALSE	TRUE	FALSE	TRUE
