group	n_tests	n_significant_BH	significance_percent	mean_odds_ratio	median_odds_ratio	mean_precision	median_precision	mean_precision_percent	median_precision_percent	mean_detected_n	median_detected_n	mean_cancer_detected_n	median_cancer_detected_n
std_log_family_mean_TOX	28	28	100	1.4969283328434526	1.4059101388506714	0.1414355594601196	0.14590614090779963	14.14355594601196	14.590614090779964	6133.714285714285	5974	866.5714285714286	775.5
std_log_ortholog_mean_TOX	28	28	100	1.4866543216625336	1.3955938112658512	0.14062674002385747	0.1431031881226647	14.062674002385748	14.31031881226647	6129.857142857143	5949	863.2142857142857	777.5
full_ortholog_mean_TOX	32	30	93.75	1.534546481724785	1.3983149122896825	0.14408892365261666	0.16583228379513015	14.408892365261666	16.583228379513017	5855.25	6278	822.46875	651
full_family_mean_TOX	32	28	87.5	1.469031097918671	1.3834157806701834	0.1403934894824593	0.14515526682413943	14.03934894824593	14.515526682413944	5912.375	6374	829.03125	670.5
TOX_AND_DGE	36	30	83.33333333333333	1.2986733134843385	1.3194568109455709	0.13577836530116125	0.13596478972163778	13.577836530116125	13.596478972163778	6154.555555555556	6416	841.0277777777778	585.5
ALL_TOX	36	26	72.22222222222223	1.2124942167123978	1.2800300057911131	0.12871236190698487	0.12828381324911187	12.871236190698488	12.828381324911186	7495.111111111111	8325	983.8888888888889	689
ALL_limma	36	19	52.77777777777778	1.9093979996283423	1.2011451020111963	0.12444271415146284	0.12751455964126096	12.444271415146284	12.751455964126096	12692.555555555555	12550	1571.388888888889	1376.5
ALL_DGE	36	17	47.22222222222222	Inf	1.1915800458414192	0.12297709988704164	0.1257558781518488	12.297709988704163	12.57558781518488	14013.555555555555	14473	1718.888888888889	1535.5
ALL_edgeR	36	14	38.888888888888886	Inf	1.1346078237655024	0.12325124447286602	0.12666964777119308	12.325124447286601	12.666964777119308	13154.222222222223	13415	1616.8055555555557	1426
ONLY_DGE	36	3	8.333333333333334	0.8942537490603937	0.7812336609069337	0.1108810372071082	0.1085931369240684	11.08810372071082	10.85931369240684	7859	7794	877.8611111111111	868.5
log_family_mean_TOX	36	3	8.333333333333334	0.840276697233376	0.8522042461890537	0.11640754303249079	0.11775404994646127	11.640754303249079	11.775404994646127	3354.1111111111113	3109	392.3611111111111	357.5
log_ortholog_mean_TOX	36	2	5.555555555555555	0.8221871111545848	0.8616713973346832	0.11482582205030406	0.11811149744110638	11.482582205030406	11.811149744110638	3362.777777777778	3177	387.5	366.5
ONLY_TOX	36	0	0	0.7531403933481301	0.8392541757909118	0.10067364980055835	0.07925042762545091	10.067364980055835	7.925042762545091	1340.5555555555557	1356	142.86111111111111	106
