cancer_id	group	detected_n	cancer_detected_n	noncancer_detected_n	precision_percent	odds_ratio	p_adjust_BH
ALL_CANCERS_COMBINED	std_log_family_mean_TOX	8920	2020	6900	22.65	1.4388992475425242	2.3879265901015623e-21
ALL_CANCERS_COMBINED	std_log_ortholog_mean_TOX	8806	1998	6808	22.69	1.439437909524445	2.3879265901015623e-21
ALL_CANCERS_COMBINED	full_ortholog_mean_TOX	9076	2042	7034	22.5	1.421933513438682	2.4161592242916824e-20
ALL_CANCERS_COMBINED	full_family_mean_TOX	9219	2071	7148	22.46	1.4245679667133277	1.929615049283201e-20
ALL_CANCERS_COMBINED	ALL_DGE	17628	3523	14105	19.99	2.313313334338125	1.6180825063172367e-8
ALL_CANCERS_COMBINED	ONLY_TOX	431	42	389	9.74	0.4322803941672335	1
ALL_CANCERS_COMBINED	ONLY_DGE	7038	1155	5883	16.41	0.7015026809726889	1
TCGA-BLCA	full_ortholog_mean_TOX	240	59	181	24.58	1.2384779572438682	0.1932717818790566
TCGA-BLCA	full_family_mean_TOX	223	50	173	22.42	1.0948267704810444	0.4577036064972713
TCGA-BLCA	ALL_DGE	9870	2124	7746	21.52	1.3856344408641466	9.061751238364891e-5
TCGA-BLCA	ONLY_TOX	1356	224	1132	16.52	0.7216910683717953	0.9999941455049572
TCGA-BLCA	ONLY_DGE	8064	1666	6398	20.66	0.9468922196793481	0.9999941455049572
TCGA-BRCA	std_log_family_mean_TOX	5974	1408	4566	23.57	1.3655490870177511	1.3517751325924254e-14
TCGA-BRCA	std_log_ortholog_mean_TOX	5949	1401	4548	23.55	1.3621378862175235	2.064110764551765e-14
TCGA-BRCA	full_ortholog_mean_TOX	6535	1536	4999	23.5	1.382693671611661	6.664878886421015e-16
TCGA-BRCA	full_family_mean_TOX	6657	1552	5105	23.31	1.3625104154952565	8.738212845451628e-15
TCGA-BRCA	ALL_DGE	15592	3172	12420	20.34	1.0845919593624802	0.23831603632158951
TCGA-BRCA	ONLY_TOX	1212	231	981	19.06	0.9220057288529022	0.9999999999488592
TCGA-BRCA	ONLY_DGE	7794	1412	6382	18.12	0.7799916496163938	0.9999999999488592
TCGA-COAD	std_log_family_mean_TOX	5336	1233	4103	23.11	1.2737383467905676	1.0563686967561471e-8
TCGA-COAD	std_log_ortholog_mean_TOX	5372	1236	4136	23.01	1.2635431827940284	2.7941275608048855e-8
TCGA-COAD	full_ortholog_mean_TOX	6021	1401	4620	23.27	1.3184939456807974	5.6626515869067495e-11
TCGA-COAD	full_family_mean_TOX	6091	1420	4671	23.31	1.3272281176989535	2.183408731798361e-11
TCGA-COAD	ALL_DGE	13653	2805	10848	20.54	1.0404450033481842	0.37829769671625135
TCGA-COAD	ONLY_TOX	1909	380	1529	19.91	0.9611272068989406	0.9076475526068281
TCGA-COAD	ONLY_DGE	7237	1333	5904	18.42	0.7891445470905191	0.9999999997736897
TCGA-KIRC	std_log_family_mean_TOX	3896	912	2984	23.41	1.2795230542296476	1.0967250741599234e-7
TCGA-KIRC	std_log_ortholog_mean_TOX	4009	918	3091	22.9	1.2330461253764646	4.218607212197662e-6
TCGA-KIRC	full_ortholog_mean_TOX	5234	1186	4048	22.66	1.238082972275288	4.458941225324638e-7
TCGA-KIRC	full_family_mean_TOX	5176	1184	3992	22.87	1.2600129413840004	8.811100079171877e-8
TCGA-KIRC	ALL_DGE	15096	3088	12008	20.46	1.1841838194129986	0.0335727167186765
TCGA-KIRC	ONLY_TOX	1149	205	944	17.84	0.8444634892036452	0.9999999989614279
TCGA-KIRC	ONLY_DGE	8705	1648	7057	18.93	0.8368766729516788	0.9999999989614279
TCGA-LUAD	std_log_family_mean_TOX	7563	1725	5838	22.81	1.314517205484873	5.470064297118989e-12
TCGA-LUAD	std_log_ortholog_mean_TOX	7501	1716	5785	22.88	1.3220342084681	2.3028615733311157e-12
TCGA-LUAD	full_ortholog_mean_TOX	7724	1766	5958	22.86	1.3305578029895773	8.467991799667623e-13
TCGA-LUAD	full_family_mean_TOX	7831	1777	6054	22.69	1.3087502390149466	1.043547148751672e-11
TCGA-LUAD	ALL_DGE	14473	2980	11493	20.59	1.0989173063239075	0.13508546984682918
TCGA-LUAD	ONLY_TOX	1781	340	1441	19.09	0.909986578831116	0.9999999999890088
TCGA-LUAD	ONLY_DGE	6667	1194	5473	17.91	0.7656332099177605	0.9999999999890088
TCGA-LUSC	std_log_family_mean_TOX	6939	1613	5326	23.25	1.3552205856895043	1.8915971879185693e-14
TCGA-LUSC	std_log_ortholog_mean_TOX	6954	1609	5345	23.14	1.3407602511305112	1.1813696132537907e-13
TCGA-LUSC	full_ortholog_mean_TOX	7248	1679	5569	23.17	1.3584393158102142	1.0828796850332456e-14
TCGA-LUSC	full_family_mean_TOX	7335	1688	5647	23.01	1.3402177312939032	1.130981504275202e-13
TCGA-LUSC	ALL_DGE	15053	3078	11975	20.45	1.0690888178911961	0.26164701012005204
TCGA-LUSC	ONLY_TOX	1522	295	1227	19.38	0.9353759793059341	0.999999999855699
TCGA-LUSC	ONLY_DGE	7193	1304	5889	18.13	0.7826699446279682	0.999999999855699
TCGA-STAD	ALL_DGE	11529	2371	9158	20.57	1.312189436920015	0.0060701103024286525
TCGA-STAD	ONLY_TOX	886	146	740	16.48	0.7620850860887981	0.9999999994595675
TCGA-STAD	ONLY_DGE	9878	2035	7843	20.6	1.106233551911548	0.09859291786551651
TCGA-THCA	std_log_family_mean_TOX	4308	945	3363	21.94	1.1532213243076086	0.004926815340065879
TCGA-THCA	std_log_ortholog_mean_TOX	4318	935	3383	21.65	1.1262984762240067	0.009725314104652525
TCGA-THCA	full_ortholog_mean_TOX	4764	1028	3736	21.58	1.1248625070875937	0.008993992228191234
TCGA-THCA	full_family_mean_TOX	4767	1038	3729	21.77	1.1445604611334748	0.004926815340065879
TCGA-THCA	ALL_DGE	13228	2728	10500	20.62	1.2124196560982998	0.005205525600542387
TCGA-THCA	ONLY_TOX	1819	321	1498	17.65	0.8247969215693112	0.9990022159102332
TCGA-THCA	ONLY_DGE	8155	1596	6559	19.57	0.9108602356200335	0.9990022159102332
